f4287K08O09B* C2008 07 29.34054 21 06 47.98 +04 56 16.9          20.7 Vrz3154G96
f4287K08O09B 2C2014 09 09.00752702 06 32.44 +32 59 45.0          18.0 Rq~18d9089
f4287K08O09B 2C2014 09 09.00985402 06 33.28 +32 59 49.1          17.6 Rq~18d9089
f4287K08O09B 2C2014 09 09.01218002 06 34.13 +32 59 52.8          17.6 Rq~18d9089
f4287K08O09B 2C2014 09 09.01450602 06 34.97 +32 59 56.0          17.5 Rq~18d9089
f4287K08O09B 2C2014 09 09.01683302 06 35.84 +32 59 59.7          18.0 Rq~18d9089
f4287K08O09B 2C2014 09 09.01917202 06 36.72 +33 00 02.6          17.9 Rq~18d9089
f4287K08O09B 2C2014 09 09.02150902 06 37.56 +33 00 06.3          17.7 Rq~18d9089
f4287K08O09B 2C2014 09 09.02384702 06 38.44 +33 00 09.6          18.5 Rq~18d9089
f4287K08O09B  C2014 09 15.29137 02 55 37.09 +35 21 40.4          17.0 Vq~18d9703
f4287K08O09B  C2014 09 15.29793 02 55 40.80 +35 21 47.9          17.1 Vq~18d9703
f4287K08O09B  C2014 09 15.30448 02 55 44.55 +35 21 56.3          16.9 Vq~18d9703
f4287K08O09B  C2014 09 15.31103 02 55 48.25 +35 22 03.6          17.1 Vq~18d9703
f4287K08O09B 2C2014 09 18.98692103 35 55.38 +36 11 43.2          17.0 Rq~195P089
f4287K08O09B 2C2014 09 18.98893703 35 56.87 +36 11 44.0          17.4 Rq~195P089
f4287K08O09B 2C2014 09 18.99095103 35 58.35 +36 11 45.1          17.0 Rq~195P089
f4287K08O09B 2C2014 09 18.99296503 35 59.78 +36 11 45.9          17.1 Rq~195P089
f4287K08O09B 2C2014 09 18.99902003 36 04.21 +36 11 48.4          17.3 Rq~195P089
f4287K08O09B 2C2014 09 19.00305903 36 07.12 +36 11 50.3          17.0 Rq~195P089
f4287K08O09B 2C2014 09 19.00507203 36 08.60 +36 11 51.1          17.1 Rq~195P089
f4287K08O09B KC2014 09 20.02024 03 49 02.53 +36 16 03.9          17.3 Vq~195PL22
f4287K08O09B KC2014 09 20.02669 03 49 07.73 +36 16 04.4          16.9 Vq~195PL22
f4287K08O09B KC2014 09 20.02991 03 49 10.08 +36 16 04.7          17.4 Vq~195PL22
f4287K08O09B KC2014 09 20.03314 03 49 12.64 +36 16 04.9          17.1 Vq~195PL22
f4287K08O09B KC2014 09 20.03637 03 49 15.30 +36 16 05.5          17.5 Vq~195PL22
f4287K08O09B KC2014 09 20.03959 03 49 17.81 +36 16 05.7          17.3 Vq~195PL22
f4287K08O09B KC2014 09 20.04281 03 49 20.35 +36 16 05.9          16.9 Vq~195PL22
f4287K08O09B KC2014 09 20.04604 03 49 22.74 +36 16 06.3          17.5 Vq~195PL22
f4287K08O09B KC2014 09 20.04927 03 49 25.27 +36 16 06.5          17.2 Vq~195QL22
f4287K08O09B KC2014 09 24.12587 04 49 09.64 +35 22 48.9          17.0 Rt~195Q113
f4287K08O09B  C2014 09 24.12886 04 49 12.51 +35 22 47.5          17.3 Rc~1BQsA24
f4287K08O09B  C2014 09 24.12958 04 49 13.32 +35 22 45.6          16.6 Rc~1BQsA24
f4287K08O09B KC2014 09 24.12970 04 49 13.28 +35 22 42.0          17.0 Rt~195Q113
f4287K08O09B KC2014 09 24.13355 04 49 16.93 +35 22 35.1          17.2 Rt~195Q113
f4287K08O09B  C2014 09 24.17026 04 49 51.90 +35 21 31.7          16.8 Rc~1BQsA24
f4287K08O09B  C2014 09 24.17098 04 49 52.65 +35 21 30.4          16.8 Rc~1BQsA24
f4287K08O09B KC2014 09 29.14803 06 13 43.97 +30 39 32.7          17.1 Rq~19yM160
f4287K08O09B KC2014 09 29.14964 06 13 45.55 +30 39 22.5          16.8 Rq~19yM160
f4287K08O09B KC2014 09 29.15189 06 13 47.79 +30 39 10.8          17.4 Rq~19yM160
f4287K08O09B KC2014 10 04.20608 07 33 42.71 +22 07 23.7          17.6 Vq~19yMZ81
f4287K08O09B KC2014 10 04.22757 07 34 00.74 +22 04 59.0          17.7 Vq~19yMZ81
f4287K08O09B KC2014 10 05.16207 07 46 58.16 +20 19 01.5          18.1 Vq~19yMZ81
f4287K08O09B KC2014 10 05.20452 07 47 32.06 +20 14 14.3          17.7 Vq~19yMZ81
f4287K08O09B KC2014 10 05.21048 07 47 36.79 +20 13 34.3          18.1 Vq~19yMZ81
