     K07T24U* C2007 10 11.26838 00 43 17.43 -14 27 58.9          20.3 Vrv8884703
     K07T24U  C2008 01 27.02468 00 37 15.29 -08 25 38.8          16.2 Rrx5520H45
     K07T24U  C2008 01 27.02543 00 37 15.49 -08 25 20.9          16.1 Rrx5520H45
     K07T24U  C2008 01 27.02590 00 37 15.62 -08 25 10.0          15.5 Rrx5520H45
     K07T24U  C2008 01 27.02854 00 37 16.40 -08 24 08.1          16.2 Rrx5520H45
     K07T24U  C2008 01 27.03112 00 37 17.17 -08 23 07.2          15.8 Rrx5520H45
     K07T24U  C2008 01 27.03182 00 37 17.37 -08 22 50.1          15.9 Rrx5520H45
     K07T24U  C2008 01 27.03468 00 37 18.21 -08 21 43.3          15.9 Rrx5520H45
     K07T24U  C2008 01 27.41767 00 40 55.06 -05 26 00.1          15.8 Rox9164300
     K07T24U  C2008 01 27.41990 00 40 56.07 -05 24 47.4          15.5 Rox9164300
     K07T24U  C2008 01 27.42059 00 40 56.40 -05 24 24.6          15.6 Rox9164300
     K07T24U  C2008 01 27.42133 00 40 56.74 -05 24 00.0          15.4 Rox9164300
     K07T24U  C2008 01 27.42454 00 40 47.00 -05 07 41.9          15.0 Vrx5520432
     K07T24U  C2008 01 27.42492 00 40 47.21 -05 07 29.7          14.9 Vrx5520432
     K07T24U  C2008 01 27.42527 00 40 47.36 -05 07 18.1          15.0 Vrx5520432
     K07T24U  C2008 01 27.46201 00 41 11.72 -04 45 37.3          15.9 Vrx5520415
     K07T24U  C2008 01 27.46215 00 41 11.86 -04 45 32.0          15.9 Vrx5520415
     K07T24U  C2008 01 27.46231 00 41 11.82 -04 45 26.8          15.4 Vrx5520415
     K07T24U  C2008 01 27.68454 00 44 19.90 -02 42 20.5          15.3 Vox5520B34
     K07T24U  C2008 01 27.68753 00 44 21.71 -02 40 15.2          15.0 Vox5520B34
     K07T24U  C2008 01 27.74938 00 45 20.17 -01 57 37.6          15.0 Rox5520473
     K07T24U  C2008 01 27.75153 00 45 21.68 -01 56 01.2          15.0 Rox5520473
