     K07S11P* C2007 09 25.46397 08 24 14.61 +45 11 26.3          20.7 Vrv8166G96
     K07S11P  C2015 12 03.18919 01 05 56.36 +30 29 20.3          19.7 rR~1eNJG45
     K07S11P  C2015 12 03.19489 01 05 56.05 +30 29 22.2          19.7 rR~1eNJG45
     K07S11P  C2015 12 03.20088 01 05 55.73 +30 29 24.1          19.7 rR~1eNJG45
     K07S11P  C2015 12 05.21255 01 04 21.216+30 40 13.92         19.5 wL~1fKwF51
     K07S11P  C2015 12 05.22361 01 04 20.695+30 40 17.54         19.5 wL~1fKwF51
     K07S11P  C2015 12 05.23463 01 04 20.177+30 40 21.14         19.5 wL~1fKwF51
     K07S11P  C2015 12 05.24576 01 04 19.653+30 40 24.75         19.5 wL~1fKwF51
     K07S11P  C2016 01 14.07361 01 12 18.29 +34 44 30.4          20.6 rR~1j8OG45
     K07S11P  C2016 01 14.08017 01 12 18.67 +34 44 33.2          20.3 rR~1j8OG45
     K07S11P  C2016 01 14.08024 01 12 18.67 +34 44 33.7          20.8 rR~1j8OG45
     K07S11P  C2016 01 14.08637 01 12 19.03 +34 44 36.6          20.3 rR~1j8OG45
     K07S11P  C2016 01 14.08728 01 12 19.06 +34 44 37.0          20.3 rR~1j8OG45
     K07S11P  C2016 01 14.09328 01 12 19.47 +34 44 39.2          20.7 rR~1j8OG45
