     K08S11V* C2008 09 25.26245 23 28 05.01 -09 27 00.6          20.7 Vrz8086G96
     K08S11V  C2009 03 30.06199305 52 29.16 +54 49 17.5          14.9 Ro~05t3J95
     K08S11V  C2009 03 30.07517905 53 51.72 +54 48 56.0          14.6 Ro~05t3J95
     K08S11V  C2009 03 30.15381 06 02 03.08 +54 49 50.3          14.8 Vr~05t3703
     K08S11V  C2009 03 30.15869 06 02 33.54 +54 49 33.3          14.8 Vr~05t3703
     K08S11V  C2009 03 30.16848 06 03 34.45 +54 48 57.7          14.8 Vr~05t3703
     K08S11V  C2009 03 30.82662 07 14 44.65 +52 51 30.8                c~06BQ127
     K08S11V  C2009 03 30.82905 07 15 00.06 +52 50 44.9                c~06BQ127
     K08S11V  C2009 03 30.83270 07 15 23.09 +52 49 35.9                c~06BQ127
     K08S11V  C2009 03 30.83513 07 15 38.50 +52 48 49.6                c~06BQ127
     K08S11V  C2009 03 30.83756 07 15 53.86 +52 48 03.4                c~06BQ127
     K08S11V  C2009 03 30.90384 07 22 51.57 +52 25 58.1          15.1 Vo~05t3510
     K08S11V  C2009 03 30.90542 07 23 01.48 +52 25 25.4          15.1 Vo~05t3510
     K08S11V  C2009 03 30.90698 07 23 11.30 +52 24 52.9          15.1 Vo~05t3510
     K08S11V  C2009 03 31.46204 08 18 31.94 +48 23 14.1          13.9 Ro~068K300
     K08S11V  C2009 03 31.46295 08 18 36.91 +48 22 45.6          14.1 Ro~068K300
     K08S11V  C2009 03 31.46387 08 18 41.87 +48 22 16.2          14.0 Ro~068K300
     K08S11V  C2009 03 31.46481 08 18 46.88 +48 21 46.4          13.9 Ro~068K300
     K08S11V  C2009 03 31.46572 08 18 51.81 +48 21 18.0          14.1 Ro~068K300
     K08S11V  C2009 03 31.81635 08 48 57.72 +45 00 29.2                c~06BQ127
     K08S11V  C2009 03 31.81719 08 48 59.28 +45 00 52.1          13.7 Cw~05t3B40
     K08S11V  C2009 03 31.81756 08 49 03.41 +44 59 45.0                c~06BQ127
     K08S11V  C2009 03 31.81991 08 49 12.03 +44 59 12.9          13.7 Cw~05t3B40
     K08S11V  C2009 03 31.81999 08 49 14.83 +44 58 17.0                c~06BQ127
     K08S11V  C2009 03 31.82122 08 49 20.58 +44 57 32.8                c~06BQ127
     K08S11V  C2009 03 31.82344 08 49 28.52 +44 57 04.4          13.8 Cw~05t3B40
     K08S11V  C2009 03 31.82363 08 49 31.93 +44 56 04.5                c~06BQ127
     K08S11V  C2009 03 31.82521 08 49 37.86 +44 55 03.0          13.4 Cc~05t3639
     K08S11V  C2009 03 31.82545 08 49 37.92 +44 55 50.7          14.0 Cw~05t3B40
     K08S11V  C2009 03 31.82579 08 49 40.47 +44 54 41.5          13.4 Cc~05t3639
     K08S11V  C2009 03 31.82708 08 49 46.72 +44 53 54.6          13.5 Cc~05t3639
     K08S11V  C2009 03 31.82828 08 49 51.15 +44 54 07.6          13.6 Cw~05t3B40
     K08S11V  C2009 03 31.82884 08 49 54.98 +44 52 50.2          13.3 Cc~05t3639
     K08S11V  C2009 03 31.82955 08 49 58.30 +44 52 25.1          13.6 Cc~05t3639
     K08S11V  C2009 03 31.83024 08 50 00.26 +44 52 55.9          13.7 Cw~05t3B40
     K08S11V  C2009 03 31.83042 08 50 02.34 +44 51 53.2          13.5 Cc~05t3639
     K08S11V  C2009 03 31.83138 08 50 06.84 +44 51 18.1          13.4 Cc~05t3639
     K08S11V  C2009 03 31.83352 08 50 13.44 +44 49 09.5          13.3 Cr~06sYB94
     K08S11V  C2009 03 31.83434 08 50 17.28 +44 48 39.6          13.5 Cr~06sYB94
     K08S11V  C2009 03 31.83488 08 50 19.86 +44 48 19.0          13.5 Cr~06sYB94
     K08S11V  C2009 03 31.83544 08 50 22.57 +44 47 57.9          13.4 Cr~06sYB94
     K08S11V  C2009 03 31.87035 08 53 08.88 +44 27 28.7          13.8 Vo~05t3510
     K08S11V  C2009 03 31.87517 08 53 31.06 +44 24 30.0          13.6 Vo~05t3510
     K08S11V  C2009 03 31.87675 08 53 38.33 +44 23 31.5          13.5 Vo~05t3510
     K08S11V  C2009 03 31.88405708 54 14.09 +44 19 03.0          13.5 Rr~05t3J95
     K08S11V  C2009 03 31.89608508 55 09.01 +44 11 36.2          13.4 Rr~05t3J95
     K08S11V  C2009 03 31.93377808 57 59.48 +43 48 04.1          13.0 Rr~05t3J95
     K08S11V  C2009 03 31.93980808 58 26.50 +43 44 16.9          12.9 Rr~05t3J95
     K08S11V  C2009 04 01.16009909 14 22.35 +41 25 08.1          13.3 Vo~05t3H55
