     K07C19A  C2007 03 13.03585 08 24 18.61 +10 39 51.9          16.4 Rcv1387A24
     K07C19A  C2007 03 13.11686 08 23 57.74 +10 42 24.0          17.3 Rou3160699
     K07C19A  C2007 03 13.16245 08 23 44.89 +10 43 47.2                ou3160699
     K07C19A  C2007 03 13.18530 08 23 38.42 +10 44 29.1                ou3160699
     K07C19A  C2007 03 13.79745 08 20 49.25 +11 03 06.4          17.4 Rcu3160A53
     K07C19A  C2007 03 13.80440 08 20 47.27 +11 03 19.2          17.1 Rcu3160A53
     K07C19A  C2007 03 13.81171 08 20 45.20 +11 03 32.6          17.2 Rcu3160A53
     K07C19A  C2007 03 13.85974 08 20 31.52 +11 05 01.3          17.7 Vcu5572A48
     K07C19A  C2007 03 13.86347 08 20 30.48 +11 05 08.2          17.9 Vcu5572A48
     K07C19A  C2007 03 13.86719 08 20 29.43 +11 05 15.0          17.5 Vcu5572A48
     K07C19A  C2007 03 13.87093 08 20 28.33 +11 05 22.0          17.5 Vcu5572A48
     K07C19A  C2007 03 13.90150 08 20 19.67 +11 06 18.2          17.0 Rcv1552A24
     K07C19A  C2007 03 13.91216 08 20 16.64 +11 06 37.8          17.0 Rcv1552A24
     K07C19A  C2007 03 13.92287 08 20 13.60 +11 06 57.4          17.0 Rcv1552A24
     K07C19A  C2007 03 13.93372 08 20 10.53 +11 07 17.3          17.3 Rcv1552A24
     K07C19A  C2007 03 13.94904 08 20 06.18 +11 07 45.4          16.9 Rcu3160A24
     K07C19A  C2007 03 13.95003 08 20 05.88 +11 07 47.2          16.9 Rcu3160A24
     K07C19A  C2007 03 13.95862 08 20 03.45 +11 08 03.0          17.6 Rcv1552A24
     K07C19A  C2007 03 13.96680 08 20 01.15 +11 08 17.8          17.1 Rcv1552A24
     K07C19A  C2007 03 13.97469 08 19 58.95 +11 08 32.5          16.8 Rcu3160A24
     K07C19A  C2007 03 13.97568 08 19 58.63 +11 08 33.9          17.1 Rcu3160A24
     K07C19A  C2007 03 13.98435 08 19 56.21 +11 08 49.8          17.6 Rcv1552A24
     K07C19A  C2007 03 13.99262 08 19 53.87 +11 09 04.8          17.1 Rcv1552A24
     K07C19A  C2007 03 14.00059 08 19 51.60 +11 09 19.4          16.9 Rcu3160A24
