     K06P01A [C2006 07 20.43356 21 05 53.56 -18 45 16.2                c~0C8E568
     K06P01A* C2006 08 13.23261 20 26 59.62 -20 12 06.9          19.6 Ror5753644
     K06P01A  C2007 01 23.89709 09 04 08.50 +20 05 37.4          18.1 Rot9509A32
     K06P01A  C2007 01 23.90025 09 04 08.08 +20 05 37.2          17.9 Rot9509A32
     K06P01A  C2007 01 23.90843 09 04 07.07 +20 05 35.0          17.8 Rot9509A32
     K06P01A  C2007 01 23.91719 09 04 05.90 +20 05 32.9          18.2 Rot9509A32
     K06P01A  C2007 01 23.94222 09 04 02.78 +20 05 29.0          18.1 Rot9509A32
     K06P01A  C2007 01 24.26009 09 03 25.17 +20 04 32.6          18.3 Vot7091691
     K06P01A  C2007 01 24.26978 09 03 23.80 +20 04 30.3          17.9  ct7091704
     K06P01A  C2007 01 24.27893 09 03 22.74 +20 04 29.0          18.4 Vot7091691
     K06P01A  C2007 01 24.28213 09 03 22.22 +20 04 28.2          18.3  ct7091704
     K06P01A  C2007 01 24.29440 09 03 20.64 +20 04 25.6          18.5  ct7091704
     K06P01A  C2007 01 24.29441 09 03 20.72 +20 04 26.2          18.5 Vot7091691
     K06P01A  C2007 01 24.30666 09 03 19.03 +20 04 23.3          18.2  ct7091704
     K06P01A  C2007 01 24.31894 09 03 17.45 +20 04 20.9          18.3  ct7091704
     K06P01A  C2007 01 25.39237 09 01 11.56 +20 00 38.0          17.9 Rrt7091H45
     K06P01A  C2007 01 25.39354 09 01 11.43 +20 00 37.8          17.8 Rrt7091H45
     K06P01A  C2007 01 25.39533 09 01 11.19 +20 00 37.2          17.9 Rrt7091H45
     K06P01A  C2007 01 25.39641 09 01 11.08 +20 00 37.1          17.8 Rrt7091H45
     K06P01A  C2007 01 25.39768 09 01 10.92 +20 00 36.9          18.0 Rrt7091H45
     K06P01A  C2007 01 27.26180 08 57 48.69 +19 54 24.7          17.7 Rot8176699
     K06P01A  C2007 01 27.28008 08 57 46.63 +19 54 21.4                ot8176699
     K06P01A  C2007 01 27.29836 08 57 44.42 +19 54 16.9                ot8176699
     K06P01A  C2007 01 27.31665 08 57 42.33 +19 54 14.3                ot8176699
     K06P01A 1C2007 01 29.18040408 54 33.03 +19 47 55.4                rv1849084
     K06P01A  C2007 01 31.39681 08 51 08.80 +19 41 03.8          17.5 Rrt8176H45
     K06P01A  C2007 01 31.39869 08 51 08.62 +19 41 03.5          17.6 Rrt8176H45
     K06P01A  C2007 01 31.39960 08 51 08.54 +19 41 03.2          17.6 Rrt8176H45
     K06P01A  C2007 01 31.40086 08 51 08.42 +19 41 03.2          17.6 Rrt8176H45
     K06P01A  C2007 01 31.40914 08 51 07.60 +19 41 02.0          17.5 Rrt8176H45
     K06P01A  C2007 02 08.27711 08 41 48.37 +19 17 01.7          18.9 Vrt8735G96
     K06P01A  C2007 02 08.28544 08 41 47.83 +19 17 00.4          18.8 Vrt8735G96
     K06P01A  C2007 02 08.29395 08 41 47.29 +19 16 58.8          19.0 Vrt8735G96
     K06P01A  C2007 02 08.30230 08 41 46.75 +19 16 57.0          18.9 Vrt8735G96
     K06P01A  C2007 02 10.23587 08 40 06.60 +19 11 10.7          18.7 Rot9509644
     K06P01A  C2007 02 10.24433 08 40 06.12 +19 11 09.6          18.7 Rot9509644
     K06P01A  C2007 02 10.25639 08 40 05.43 +19 11 07.1          18.6 Rot9509644
     K06P01A  C2007 02 10.26482 08 40 04.97 +19 11 05.9          18.5 Rot9509644
     K06P01A  C2007 02 10.27686 08 40 04.29 +19 11 03.8          18.8 Rot9509644
     K06P01A  C2007 02 10.28529 08 40 03.82 +19 11 02.2          18.8 Rot9509644
     K06P01A  C2007 02 11.32319 08 39 14.86 +19 07 55.1          19.0 Rrt9509H45
     K06P01A  C2007 02 11.32486 08 39 14.78 +19 07 55.0          19.0 Rrt9509H45
     K06P01A  C2007 02 11.32618 08 39 14.69 +19 07 54.8          19.1 Rrt9509H45
     K06P01A  C2007 02 11.32748 08 39 14.64 +19 07 54.4          19.0 Rrt9509H45
     K06P01A  C2007 02 11.32881 08 39 14.56 +19 07 54.3          18.9 Rrt9509H45
     K06P01A  C2007 02 13.30117 08 37 53.96 +19 02 04.0          19.5  ct9509704
     K06P01A  C2007 02 13.31229 08 37 53.42 +19 02 01.6          19.8  ct9509704
     K06P01A  C2007 02 13.34569 08 37 51.97 +19 01 55.7          19.7  ct9509704
     K06P01A  C2007 02 20.78652 08 34 46.39 +18 39 25.7          20.2 Vou0423198
     K06P01A  C2007 02 20.78722 08 34 46.38 +18 39 25.5          20.2 Vou0423198
     K06P01A  C2007 02 20.78793 08 34 46.37 +18 39 25.3          20.2 Vou0423198
     K06P01A  C2007 02 20.79286 08 34 46.29 +18 39 24.2          19.9 Vou0423198
     K06P01A  C2007 02 21.26345 08 34 39.48 +18 38 01.3          20.0 Rru0423H45
     K06P01A  C2007 02 21.26512 08 34 39.44 +18 38 00.3          20.2 Rru0423H45
     K06P01A  C2007 02 21.26655 08 34 39.40 +18 38 00.2          20.1 Rru0423H45
     K06P01A  C2007 02 21.26830 08 34 39.40 +18 38 00.3          20.2 Rru0423H45
     K06P01A  C2007 02 21.27190 08 34 39.34 +18 37 58.8          20.0 Rru0423H45
     K06P01A  C2007 02 21.27407 08 34 39.30 +18 37 58.5          19.7 Rru0423H45
     K06P01A  C2009 06 19.44084 23 04 18.72 -07 07 16.1                o~07ru291
     K06P01A  C2009 06 19.44462 23 04 19.17 -07 07 12.7                o~07ru291
