     K07Y00Z* C2007 12 17.66571 07 33 05.21 +20 25 59.4          18.4 Rox1902300
     K07Y00Z  C2008 01 01.34202 06 48 00.38 +46 26 18.0          16.0 Rrx2677H45
     K07Y00Z  C2008 01 01.34373 06 47 59.58 +46 26 34.3          15.8 Rrx2677H45
     K07Y00Z  C2008 01 01.55177 06 46 33.97 +46 59 40.4                rx2677379
     K07Y00Z  C2008 01 01.62919 06 45 56.85 +47 12 05.7          16.0 R x3495355
     K07Y00Z  C2008 01 01.63152 06 45 55.72 +47 12 27.9                 x3495355
     K07Y00Z  C2008 01 01.63615 06 45 53.45 +47 13 12.2                 x3495355
     K07Y00Z  C2008 01 01.63846 06 45 52.36 +47 13 34.7                 x3495355
     K07Y00Z  C2008 01 01.63962 06 45 51.76 +47 13 45.7                 x3495355
     K07Y00Z  C2008 01 01.70325 06 45 21.18 +47 23 53.3                rx2677379
     K07Y00Z  C2008 01 01.70770 06 45 19.04 +47 24 34.9                rx2677379
     K07Y00Z  C2008 01 01.76563 06 44 51.31 +47 33 43.9                rx2677379
     K07Y00Z  C2008 01 01.77007 06 44 49.10 +47 34 25.3          17.2 Vrx2677379
     K07Y00Z  C2008 01 02.50646 06 38 59.92 +49 34 36.7          17.0 Vrx2677379
     K07Y00Z  C2008 01 02.50905 06 38 58.52 +49 35 02.3                rx2677379
     K07Y00Z  C2008 01 02.51164 06 38 57.13 +49 35 28.2                rx2677379
     K07Y00Z  C2008 01 02.52286 06 38 50.97 +49 37 21.6                rx2677379
     K07Y00Z  C2008 01 02.64727 06 37 41.77 +49 58 01.5                rx2677379
     K07Y00Z  C2008 01 02.64986 06 37 40.29 +49 58 27.1                rx2677379
     K07Y00Z  C2008 01 02.65245 06 37 38.85 +49 58 52.1                rx2677379
     K07Y00Z  C2008 01 02.65655 06 37 36.38 +49 59 31.6          15.8 R x3495355
     K07Y00Z  C2008 01 02.65771 06 37 35.77 +49 59 43.8                 x3495355
     K07Y00Z  C2008 01 02.65887 06 37 35.15 +49 59 55.2                 x3495355
     K07Y00Z  C2008 01 02.66002 06 37 34.48 +50 00 06.6                 x3495355
     K07Y00Z  C2008 01 02.66117 06 37 33.84 +50 00 17.5                 x3495355
     K07Y00Z  C2008 01 02.99120 06 34 38.63 +50 55 22.1          16.2 Rcx2677J51
     K07Y00Z  C2008 01 02.99906 06 34 33.92 +50 56 41.5          16.2 Rcx2677J51
     K07Y00Z  C2008 01 03.00673 06 34 29.32 +50 57 59.0          16.1 Rcx2677J51
