G3818K03R07X* C2003 09 06.26545 22 54 08.97 +25 11 23.6          18.2 Roi4170699
G3818K03R07X  C2003 10 12.83310 21 40 30.60 +14 08 21.1          18.9 Vri7323240
G3818K03R07X  C2003 10 12.83848 21 40 30.23 +14 08 12.9          18.6 Vri7323240
G3818K03R07X  C2003 10 16.77457 21 36 49.05 +12 22 35.5          18.4 Rri7323185
G3818K03R07X  C2003 10 16.77859 21 36 48.84 +12 22 28.4          18.1 Rri7323185
G3818K03R07X  C2003 10 16.80426 21 36 47.44 +12 21 48.1          18.1 Rri7323185
G3818K03R07X  C2003 10 16.80687 21 36 47.32 +12 21 44.9          18.6 Rri7323185
G3818K03R07X  C2003 10 16.81312 21 36 46.99 +12 21 34.6          18.7 Rri7323185
G3818K03R07X  C2003 10 20.79456 21 34 14.80 +10 36 00.2          19.0 Vri8088170
G3818K03R07X  C2003 10 20.79687 21 34 14.73 +10 35 56.7          19.1 Vri8088170
G3818K03R07X  C2003 10 20.79917 21 34 14.68 +10 35 53.3          19.1 Vri8088170
G3818K03R07X  C2003 10 21.16831 21 34 03.71 +10 26 15.8          19.1  ci8088704
G3818K03R07X  C2003 10 21.17997 21 34 03.31 +10 25 57.3          19.2  ci8088704
G3818K03R07X  C2003 10 21.19169 21 34 02.93 +10 25 38.3          19.3  ci8088704
G3818K03R07X  C2003 10 21.21463 21 34 02.09 +10 25 02.1          19.5  ci8088704
G3818K03R07X  C2003 10 22.75541 21 33 25.84 +09 44 53.3          18.1 Rri8088185
G3818K03R07X  C2003 10 22.76132 21 33 25.73 +09 44 45.0          17.9 Rri8088185
G3818K03R07X  C2003 10 22.76488 21 33 25.60 +09 44 38.2          17.8 Rri8088185
G3818K03R07X  C2003 10 22.76941 21 33 25.47 +09 44 31.7          17.9 Rri8088185
G3818K03R07X  C2003 10 22.77421 21 33 25.33 +09 44 23.7          17.9 Rri8088185
G3818K03R07X  C2003 10 27.81534 21 32 35.46 +07 37 07.2          18.7 Vri9433240
