X2446K08A04F KC2002 06 01.33892 16 11 38.23 -07 35 53.8          20.8 Vr~0CfY644
X2446K08A04F KC2002 06 01.34999 16 11 36.88 -07 35 53.5                r~0CfY644
X2446K08A04F [C2007 07 28.34900 16 33 01.60 -20 28 04.3                c~0C8N568
X2446K08A04F  C2008 01 25.41131 10 17 50.36 +34 55 54.7          16.7 Rrx5543H51
X2446K08A04F  C2008 01 25.41186 10 17 50.18 +34 55 56.2          16.6 Rrx5543H51
X2446K08A04F  C2008 01 25.41242 10 17 50.02 +34 55 57.2          16.7 Rrx5543H51
X2446K08A04F  C2008 01 25.41299 10 17 49.88 +34 55 58.4          16.7 Rrx5543H51
X2446K08A04F  C2008 01 25.41354 10 17 49.71 +34 55 59.8          16.5 Rrx5543H51
X2446K08A04F  C2008 01 25.41410 10 17 49.55 +34 56 00.9          16.8 Rrx5543H51
X2446K08A04F  C2008 01 25.41466 10 17 49.40 +34 56 02.3          16.7 Rrx5543H51
X2446K08A04F  C2008 01 25.41522 10 17 49.24 +34 56 03.6          16.7 Rrx5543H51
X2446K08A04F  C2008 01 25.41578 10 17 49.06 +34 56 04.5          16.8 Rrx5543H51
X2446K08A04F  C2008 01 25.41634 10 17 48.91 +34 56 06.0          16.7 Rrx5543H51
X2446K08A04F  C2008 01 25.41690 10 17 48.76 +34 56 07.2          16.7 Rrx5543H51
X2446K08A04F  C2008 01 25.41747 10 17 48.61 +34 56 08.6          16.7 Rrx5543H51
X2446K08A04F  C2008 01 25.41803 10 17 48.42 +34 56 09.9          16.4 Rrx5543H51
X2446K08A04F  C2008 01 25.41860 10 17 48.28 +34 56 11.2          16.7 Rrx5543H51
X2446K08A04F  C2008 01 25.41917 10 17 48.11 +34 56 12.2          16.6 Rrx5543H51
X2446K08A04F  C2008 01 25.41972 10 17 47.93 +34 56 13.3          16.6 Rrx5543H51
X2446K08A04F  C2008 01 25.42029 10 17 47.81 +34 56 14.5          16.7 Rrx5543H51
X2446K08A04F  C2008 01 25.42084 10 17 47.63 +34 56 15.8          16.6 Rrx5543H51
X2446K08A04F  C2008 01 25.42141 10 17 47.49 +34 56 17.1          16.5 Rrx5543H51
X2446K08A04F  C2008 01 25.42198 10 17 47.30 +34 56 18.6          16.9 Rrx5543H51
X2446K08A04F  C2008 01 25.42255 10 17 47.15 +34 56 19.4          16.3 Rrx5543H51
X2446K08A04F  C2008 01 25.42310 10 17 47.00 +34 56 21.0          16.6 Rrx5543H51
X2446K08A04F  C2008 01 25.42367 10 17 46.85 +34 56 22.2          16.7 Rrx5543H51
X2446K08A04F  C2008 01 25.42422 10 17 46.69 +34 56 23.4          16.3 Rrx5543H51
X2446K08A04F  C2008 01 25.42478 10 17 46.52 +34 56 24.4          16.9 Rrx5543H51
X2446K08A04F  C2008 01 25.42535 10 17 46.38 +34 56 25.8          16.6 Rrx5543H51
X2446K08A04F  C2008 01 25.42590 10 17 46.19 +34 56 27.0          16.8 Rrx5543H51
X2446K08A04F  C2008 01 25.42646 10 17 46.03 +34 56 28.4          16.8 Rrx5543H51
X2446K08A04F  C2008 01 25.42703 10 17 45.91 +34 56 29.3          16.5 Rrx5543H51
X2446K08A04F  C2008 01 25.42759 10 17 45.72 +34 56 30.6          16.4 Rrx5543H51
X2446K08A04F  C2008 01 25.42815 10 17 45.57 +34 56 31.9          16.6 Rrx5543H51
X2446K08A04F  C2008 01 25.42872 10 17 45.42 +34 56 32.9          16.5 Rrx5543H51
X2446K08A04F  C2008 01 25.42928 10 17 45.26 +34 56 34.4          16.7 Rrx5543H51
