f7949K07T23B 7C2007 10 03.48787 04 03 37.04 -01 06 17.3          20.0 ro~0Wj3705
f7949K07T23B 7C2007 10 03.48870 04 03 36.96 -01 06 16.4                o~0Wj3705
f7949K07T23B 7C2007 10 03.49119 04 03 36.72 -01 06 13.3                o~0Wj3705
f7949K07T23B 7C2007 10 08.48646 03 54 21.57 +00 38 10.2          19.0 ro~0Wj3705
f7949K07T23B 7C2007 10 08.48729 03 54 21.47 +00 38 11.3                o~0Wj3705
f7949K07T23B 7C2007 10 08.48977 03 54 21.13 +00 38 14.7                o~0Wj3705
f7949K07T23B 7C2007 10 09.46484 03 52 14.61 +01 00 29.0          19.2 ro~0Wj3705
f7949K07T23B KC2011 04 09.90022 10 36 37.32 +89 23 01.5          18.8 Rc~0VEgA24
f7949K07T23B KC2011 04 09.90728 10 35 40.19 +89 22 39.8          18.9 Rc~0VEgA24
f7949K07T23B KC2011 04 09.92027 10 33 57.47 +89 21 59.3          18.9 Rc~0VEgA24
f7949K07T23B KC2011 04 09.92658 10 33 11.41 +89 21 39.5          19.2 Rc~0VEgA24
f7949K07T23B KC2011 04 09.93587 10 32 05.49 +89 21 10.3          18.1 Rc~0VEgA24
f7949K07T23B FC2011 04 10.85418 09 46 17.65 +88 30 15.5          19.3 Rv~0V8t204
f7949K07T23B FC2011 04 10.86805 09 45 54.61 +88 29 28.0                v~0V8t204
f7949K07T23B KC2011 04 10.89821 09 45 09.63 +88 27 43.5          18.4 Rc~0VEgA24
f7949K07T23B KC2011 04 10.90760 09 44 55.54 +88 27 10.8          18.5 Rc~0VEgA24
f7949K07T23B KC2011 04 10.91398 09 44 48.07 +88 26 48.2          18.3 Rc~0VEgA24
f7949K07T23B KC2011 04 10.93686 09 44 16.44 +88 25 28.4          18.4 Rc~0VEgA24
f7949K07T23B KC2011 04 19.83506 09 18 54.41 +77 46 03.2                v~0VXG204
f7949K07T23B KC2011 04 19.84989 09 18 53.69 +77 44 43.9          19.3 Rv~0VXG204
f7949K07T23B KC2011 04 21.83928 09 18 34.59 +74 40 16.4          18.3 Rc~0V8tA24
f7949K07T23B KC2011 04 21.85114 09 18 34.18 +74 39 06.4          18.3 Rc~0V8tA24
f7949K07T23B KC2011 04 21.85840 09 18 33.92 +74 38 23.7          18.5 Rc~0V8tA24
f7949K07T23B KC2011 04 21.86833 09 18 33.54 +74 37 25.1          18.6 Rc~0V8tA24
f7949K07T23B KC2011 04 21.87560 09 18 33.20 +74 36 42.8          18.5 Rc~0V8tA24
f7949K07T23B KC2011 04 21.88745 09 18 32.98 +74 35 32.1          18.4 Rc~0V8tA24
f7949K07T23B KC2011 05 01.90532 09 18 39.80 +53 40 24.6          18.4 Ru~0VXGB67
f7949K07T23B KC2011 05 01.90919 09 18 39.78 +53 39 48.4          18.3 Ru~0VXGB67
f7949K07T23B KC2011 05 01.91307 09 18 39.76 +53 39 12.0          18.3 Ru~0VXGB67
f7949K07T23B KC2014 10 28.20172 01 16 00.93 -24 47 26.1          20.6 Rq~1BQc448
f7949K07T23B KC2014 10 28.21646 01 15 57.56 -24 46 52.5          20.6 Rq~1BQc448
f7949K07T23B KC2014 10 28.23358 01 15 53.58 -24 46 11.5          19.0 Rq~1BQc448
f7949K07T23B KC2014 11 12.17283900 32 10.51 -14 27 13.9          19.5 Rq~1C64448
f7949K07T23B KC2014 11 12.19303500 32 07.81 -14 26 23.8          19.6 Rq~1C64448
f7949K07T23B KC2014 11 12.21518100 32 04.84 -14 25 28.5          19.5 Rq~1C64448
f7949K07T23B  C2014 11 19.13883 00 19 38.28 -09 44 38.8          20.0 rR~1EG3G45
f7949K07T23B  C2014 11 19.14513 00 19 37.66 -09 44 24.2          19.7 rR~1EG3G45
f7949K07T23B  C2014 11 19.14928 00 19 37.34 -09 44 14.8          20.4 rR~1EG3G45
f7949K07T23B  C2014 11 19.15416 00 19 36.86 -09 44 02.7          19.6 rR~1EG3G45
f7949K07T23B  C2014 11 19.15831 00 19 36.45 -09 43 53.6          20.2 rR~1EG3G45
