     K09DB1O* C2009 02 22.33494 12 20 19.70 +07 51 01.9                o~05KN691
     K09DB1O  C2009 03 19.87512 10 40 16.80 +68 09 24.4                c~06Be127
     K09DB1O  C2009 03 19.87553 10 40 05.52 +68 11 07.8                c~06Be127
     K09DB1O  C2009 03 19.87603 10 39 52.10 +68 13 11.6                c~06Be127
     K09DB1O  C2009 03 19.87646 10 39 40.01 +68 15 01.8                c~06Be127
     K09DB1O  C2009 03 19.89376 10 31 22.66 +69 25 55.9                c~06Be127
     K09DB1O  C2009 03 19.89422 10 31 08.44 +69 27 49.7                c~06Be127
     K09DB1O  C2009 03 19.89469 10 30 54.17 +69 29 43.3                c~06Be127
     K09DB1O  C2009 03 19.89515 10 30 39.70 +69 31 37.4                c~06Be127
     K09DB1O  C2009 03 19.89548910 31 11.81 +69 31 31.6          12.4 Ro~05KOJ95
     K09DB1O  C2009 03 19.89561 10 30 25.39 +69 33 30.9                c~06Be127
     K09DB1O  C2009 03 19.89608 10 30 10.77 +69 35 25.3                c~06Be127
     K09DB1O  C2009 03 19.89654 10 29 56.35 +69 37 28.8                c~06Bf127
     K09DB1O  C2009 03 19.89700 10 29 41.79 +69 39 12.8                c~06Bf127
     K09DB1O  C2009 03 19.90159410 27 58.92 +69 56 40.0          12.5 Ro~05KOJ95
     K09DB1O  C2009 03 19.91244210 21 52.31 +70 41 09.0          12.2 Ro~05KOJ95
     K09DB1O  C2009 03 19.91274510 21 41.59 +70 42 23.2          12.3 Ro~05KOJ95
     K09DB1O  C2009 03 19.91309410 21 29.22 +70 43 48.8          13.0 Ro~05KOJ95
     K09DB1O  C2009 03 19.91506 10 19 30.30 +70 52 43.5                c~06Bf127
     K09DB1O  C2009 03 19.91552 10 19 13.59 +70 54 34.5                c~06Bf127
     K09DB1O  C2009 03 19.91598 10 18 56.88 +70 56 26.7                c~06Bf127
     K09DB1O  C2009 03 19.91645 10 18 39.72 +70 58 19.6                c~06Bf127
     K09DB1O  C2009 03 19.91691 10 18 22.71 +71 00 11.8                c~06Bf127
     K09DB1O  C2009 03 19.91737 10 18 05.61 +71 02 04.1                c~06Bf127
     K09DB1O  C2009 03 19.91784 10 17 48.41 +71 03 55.9                c~06Bf127
     K09DB1O  C2009 03 19.91830 10 17 31.21 +71 05 48.3                c~06Bf127
     K09DB1O  C2009 03 19.92475 10 14 20.98 +71 31 35.2          13.4 Vo~05KOJ77
     K09DB1O  C2009 03 19.92561 10 13 46.85 +71 35 05.8          13.7 Vo~05KOJ77
     K09DB1O  C2009 03 19.92691 10 12 55.38 +71 40 20.9          13.3 Vo~05KOJ77
     K09DB1O  C2009 03 19.93071 10 10 22.07 +71 55 38.0          13.1 Vo~05KOJ77
     K09DB1O  C2009 03 20.02605 08 29 25.85 +77 20 43.2          13.0 Vo~05Z9510
     K09DB1O  C2009 03 20.02616 08 29 16.03 +77 20 59.5          13.3 Vo~05Z9510
     K09DB1O  C2009 03 20.02639 08 28 55.37 +77 21 33.7          14.0 Vo~05Z9510
     K09DB1O  C2009 03 20.04242 08 03 39.68 +77 56 55.5          13.5 Vo~05Z9510
     K09DB1O  C2009 03 20.08073807 01 14.64 +79 27 47.9          13.8 Vc~05Z9H55
     K09DB1O  C2009 03 20.08111507 00 25.68 +79 28 03.5          13.1 Vc~05Z9H55
     K09DB1O  C2009 03 20.08136706 59 53.49 +79 28 13.2          13.7 Vc~05Z9H55
     K09DB1O  C2009 03 20.08149806 59 36.76 +79 28 16.1          14.1 Vc~05Z9H55
     K09DB1O  C2009 03 20.08162406 59 20.82 +79 28 21.0          13.6 Vc~05Z9H55
     K09DB1O  C2009 03 20.08187606 58 47.90 +79 28 31.0          13.5 Vc~05Z9H55
     K09DB1O  C2009 03 20.08200606 58 31.14 +79 28 35.6          14.2 Vc~05Z9H55
     K09DB1O  C2009 03 20.08213206 58 15.09 +79 28 40.4          14.7 Vc~05Z9H55
     K09DB1O  C2009 03 20.08251106 57 26.16 +79 28 52.6          13.6 Vc~05Z9H55
     K09DB1O  C2009 03 20.08276506 56 53.47 +79 29 01.1          13.8 Vc~05Z9H55
     K09DB1O  C2009 03 20.08316106 56 02.46 +79 29 12.7          13.2 Vc~05Z9H55
     K09DB1O  C2009 03 20.08328806 55 45.66 +79 29 18.5          13.2 Vc~05Z9H55
     K09DB1O  C2009 03 20.08341406 55 29.83 +79 29 21.4          13.7 Vc~05Z9H55
     K09DB1O  C2009 03 20.08354006 55 13.52 +79 29 25.2          14.2 Vc~05Z9H55
     K09DB1O  C2009 03 20.08366706 54 56.76 +79 29 29.4          13.5 Vc~05Z9H55
     K09DB1O  C2009 03 20.08404906 54 07.83 +79 29 40.8          14.1 Vc~05Z9H55
     K09DB1O  C2009 03 20.08417906 53 50.61 +79 29 44.8          14.6 Vc~05Z9H55
     K09DB1O  C2009 03 20.08430906 53 34.13 +79 29 47.0          14.8 Vc~05Z9H55
     K09DB1O  n2009 03 20.14018504 59 12.98 +78 30 19.8          13.1 Rm~06NEH25
     K09DB1O  n2009 03 20.14028004 59 02.65 +78 30 05.7          13.0 Rm~06NEH25
     K09DB1O  n2009 03 20.14037504 58 52.28 +78 29 51.9          13.3 Rm~06NEH25
     K09DB1O  n2009 03 20.16801704 13 32.18 +77 07 16.0          13.2 Rm~06NEH25
     K09DB1O  n2009 03 20.16807304 13 27.12 +77 07 04.3          13.1 Rm~06NEH25
     K09DB1O  n2009 03 20.16811204 13 23.85 +77 06 56.1          12.9 Rm~06NEH25
     K09DB1O  n2009 03 20.16820704 13 15.64 +77 06 36.9          14.6 Rm~06NEH25
     K09DB1O  n2009 03 20.16830204 13 07.34 +77 06 16.8          13.2 Rm~06NEH25
     K09DB1O  n2009 03 20.17678704 01 17.24 +76 35 45.7          13.1 Rm~06NEH25
     K09DB1O  n2009 03 20.17686004 01 11.34 +76 35 29.2          12.8 Rm~06NEH25
     K09DB1O  n2009 03 20.17695504 01 03.76 +76 35 08.4          12.7 Rm~06NEH25
     K09DB1O  n2009 03 20.17705004 00 55.98 +76 34 47.2          13.0 Rm~06NEH25
     K09DB1O  n2009 03 20.17885703 58 32.40 +76 28 01.5          12.8 Rm~06NEH25
     K09DB1O  n2009 03 20.17891303 58 27.94 +76 27 48.6          12.7 Rm~06NEH25
     K09DB1O  n2009 03 20.17895203 58 24.83 +76 27 39.7          12.6 Rm~06NEH25
     K09DB1O  n2009 03 20.17907503 58 15.22 +76 27 12.0          12.8 Rm~06NEH25
     K09DB1O  n2009 03 20.17909703 58 13.38 +76 27 07.0          13.0 Rm~06NEH25
     K09DB1O  n2009 03 20.19160403 42 45.97 +75 38 04.2          13.5 Rm~06NEH25
     K09DB1O  n2009 03 20.19166003 42 42.09 +75 37 50.4          13.0 Rm~06NEH25
     K09DB1O  n2009 03 20.19175503 42 35.46 +75 37 27.7          13.0 Rm~06NEH25
     K09DB1O  n2009 03 20.19185003 42 28.88 +75 37 03.8          13.2 Rm~06NEH25
     K09DB1O  n2009 03 20.19192303 42 23.69 +75 36 46.5          13.4 Rm~06NEH25
     K09DB1O  n2009 03 20.19196203 42 20.95 +75 36 36.9          13.4 Rm~06NEH25
     K09DB1O  n2009 03 20.19516703 38 41.73 +75 23 28.7          12.7 Rm~06NEH25
     K09DB1O  n2009 03 20.19522303 38 37.94 +75 23 14.7          12.6 Rm~06NEH25
     K09DB1O  n2009 03 20.19526203 38 35.34 +75 23 05.3          12.6 Rm~06NEH25
     K09DB1O  n2009 03 20.19531803 38 31.51 +75 22 51.4          12.6 Rm~06NEH25
     K09DB1O  n2009 03 20.19533503 38 30.38 +75 22 46.8          12.6 Rm~06NEH25
     K09DB1O  n2009 03 20.19535703 38 28.94 +75 22 41.5          13.0 Rm~06NEH25
     K09DB1O 2C2009 12 09.53415509 01 35.896+25 20 10.01         22.4 Ro~0Cft568
     K09DB1O 2C2009 12 09.53951009 01 35.831+25 20 12.22         22.5 Ro~0Cft568
     K09DB1O 2C2009 12 19.50576608 56 36.208+26 44 44.20         22.2 Ro~0Cft568
     K09DB1O 2C2009 12 19.50964408 56 35.950+26 44 46.79         22.2 Ro~0Cft568
     K09DB1O  C2011 10 21.93670 02 58 17.08 +31 20 10.7          19.5 Ro~0aRQ461
     K09DB1O  C2011 10 21.94772 02 58 12.07 +31 19 54.1          19.7 Ro~0aRQ461
     K09DB1O  C2011 10 21.95877 02 58 06.91 +31 19 36.5          19.5 Ro~0aRQ461
     K09DB1O KC2011 10 22.29183602 55 42.14 +31 10 53.6          18.7 Ru~0ZUMH36
     K09DB1O KC2011 10 22.29339502 55 41.42 +31 10 51.0          18.4 Ru~0ZUMH36
     K09DB1O KC2011 10 22.30043302 55 38.19 +31 10 39.7          18.9 Ru~0ZUMH36
     K09DB1O  C2011 11 02.20058 01 59 09.56 +26 14 00.5          19.4 Vr~0ZyqG96
     K09DB1O  C2011 11 02.21102 01 59 07.15 +26 13 45.4          19.4 Vr~0ZyqG96
     K09DB1O  C2011 11 02.22153 01 59 04.84 +26 13 29.1          18.8 Vr~0ZyqG96
     K09DB1O  C2011 11 02.23207 01 59 02.29 +26 13 14.7          19.7 Vr~0ZyqG96
