     K06R00Z  C2006 09 13.82263 22 20 54.02 +19 25 33.5          17.6 Ror8702639
     K06R00Z 1C2006 09 13.82746 22 20 53.05 +19 25 33.1          18.0  rt5545084
     K06R00Z  C2006 09 13.82960 22 20 53.59 +19 25 37.3          17.8 Ror9471A32
     K06R00Z 1C2006 09 13.83035 22 20 52.85 +19 25 35.1          18.0  rt5545084
     K06R00Z  C2006 09 13.83586 22 20 53.15 +19 25 44.6          17.6 Ror8702639
     K06R00Z  C2006 09 13.84039 22 20 52.89 +19 25 48.1          17.5 Ror8702639
     K06R00Z  C2006 09 13.84844 22 20 52.37 +19 25 52.5          17.5 Ror9471A32
     K06R00Z  C2006 09 13.85889 22 20 51.65 +19 26 03.5          17.8 Ror8702639
     K06R00Z  C2006 09 13.85924 22 20 51.67 +19 26 04.0          17.8 Rrr8702113
     K06R00Z  C2006 09 13.86082 22 20 51.58 +19 26 05.3          17.7 Rrr8702113
     K06R00Z  C2006 09 13.86234 22 20 51.45 +19 26 06.9          17.8 Rrr8702113
     K06R00Z  C2006 09 13.86311 22 20 51.39 +19 26 09.2          18.3 Vor8702A44
     K06R00Z  C2006 09 13.86706 22 20 51.08 +19 26 10.5          17.5 Ror8702639
     K06R00Z  C2006 09 13.86769 22 20 51.08 +19 26 12.9          18.3 Vor8702A44
     K06R00Z  C2006 09 13.86845 22 20 51.08 +19 26 09.1          17.7 Ror9471A32
     K06R00Z  C2006 09 13.87268 22 20 50.75 +19 26 17.0          18.5 Vor8702A44
     K06R00Z  C2006 09 13.89071 22 20 49.60 +19 26 27.7          17.7 Ror9471A32
     K06R00Z  C2006 09 13.91265 22 20 48.22 +19 26 46.3          17.2 Ror9471A32
     K06R00Z  C2006 09 14.09619 22 20 39.95 +19 29 21.0          17.9 Rrr8702734
     K06R00Z  C2006 09 14.09766 22 20 39.85 +19 29 22.3          17.9 Rrr8702734
     K06R00Z  C2006 09 14.09972 22 20 39.67 +19 29 24.4          17.8 Rrr8702649
     K06R00Z  C2006 09 14.09988 22 20 39.71 +19 29 24.0          18.0 Rrr8702734
     K06R00Z  C2006 09 14.10206 22 20 39.56 +19 29 26.2          17.8 Rrr8702734
     K06R00Z  C2006 09 14.10327 22 20 39.44 +19 29 27.7          17.8 Rrr8702649
     K06R00Z  C2006 09 14.10590 22 20 39.31 +19 29 29.5          18.0 Rrr8702734
     K06R00Z  C2006 09 14.10682 22 20 39.20 +19 29 30.7          17.8 Rrr8702649
     K06R00Z  C2006 09 14.11036 22 20 38.96 +19 29 33.5          17.8 Rrr8702649
     K06R00Z  C2006 09 14.11128 22 20 38.94 +19 29 34.0          17.8 Rrr8702734
     K06R00Z  C2006 09 14.17998 22 20 34.97 +19 30 36.4          17.9 Vdr8702291
     K06R00Z  C2006 09 14.18478 22 20 34.63 +19 30 40.4          17.9 Vdr8702291
     K06R00Z  C2006 09 14.79484 22 20 00.89 +19 38 42.2          17.6 Ror9471A32
     K06R00Z  C2006 09 14.81364 22 19 59.68 +19 38 58.4          17.5 Ror9471A32
     K06R00Z  C2006 09 14.83247 22 19 58.38 +19 39 14.7          17.7 Ror9471A32
     K06R00Z  C2006 09 14.85123 22 19 57.14 +19 39 30.9          17.7 Ror9471A32
     K06R00Z  C2006 09 14.87004 22 19 55.84 +19 39 46.9          17.4 Ror9471A32
     K06R00Z 1C2006 09 14.87417 22 19 54.88 +19 39 46.9          17.8  rt5545084
     K06R00Z 1C2006 09 14.87706 22 19 54.67 +19 39 49.4          17.9  rt5545084
     K06R00Z  C2006 09 14.88884 22 19 54.51 +19 40 02.9          17.6 Ror9471A32
     K06R00Z  C2006 09 14.91078 22 19 53.00 +19 40 21.0          17.7 Ror9471A32
     K06R00Z  C2006 09 15.31464 22 19 27.87 +19 46 12.1          17.7 Rrr8702H45
     K06R00Z  C2006 09 15.31552 22 19 27.79 +19 46 12.9          17.7 Rrr8702H45
     K06R00Z  C2006 09 15.31684 22 19 27.70 +19 46 13.9          17.6 Rrr8702H45
     K06R00Z  C2006 09 15.31877 22 19 27.56 +19 46 15.3          17.6 Rrr8702H45
     K06R00Z  C2006 09 15.31941 22 19 27.51 +19 46 16.0          17.5 Rrr8702H45
     K06R00Z  C2006 09 15.31998 22 19 27.48 +19 46 16.2          17.5 Rrr8702H45
     K06R00Z  C2006 09 16.03007 22 18 46.32 +19 56 14.4          17.5 Vor9471J68
     K06R00Z  C2006 09 16.03183 22 18 46.17 +19 56 15.6          17.8 Vor9471J68
     K06R00Z  C2006 09 16.03359 22 18 46.02 +19 56 17.5          17.9 Vor9471J68
     K06R00Z  C2006 09 16.29987 22 18 29.20 +20 00 23.7          17.8 Rrr9471H45
     K06R00Z  C2006 09 16.30087 22 18 29.13 +20 00 24.7          17.7 Rrr9471H45
     K06R00Z  C2006 09 16.30186 22 18 29.04 +20 00 25.5          17.7 Rrr9471H45
     K06R00Z  C2006 09 16.30407 22 18 28.87 +20 00 27.2          17.6 Rrr9471H45
     K06R00Z  C2006 09 16.30508 22 18 28.79 +20 00 28.2          17.6 Rrr9471H45
     K06R00Z  C2006 09 16.30573 22 18 28.75 +20 00 28.7          17.5 Rrr9471H45
     K06R00Z 1C2006 09 16.83341 22 17 58.08 +20 08 03.2          17.2  rt5545084
     K06R00Z 1C2006 09 16.83630 22 17 57.88 +20 08 05.5          17.3  rt5545084
     K06R00Z 1C2006 09 17.81907 22 16 53.88 +20 23 18.0          17.5  rt5545084
     K06R00Z 1C2006 09 17.82196 22 16 53.62 +20 23 20.7          17.7  rt5545084
     K06R00Z  C2006 09 18.01996 22 16 42.00 +20 26 42.6          17.5 Rrr9471932
     K06R00Z  C2006 09 18.02756 22 16 41.37 +20 26 50.5          17.5 Rrr9471932
     K06R00Z  C2006 09 18.03571 22 16 40.69 +20 26 58.9          17.5 Rrr9471932
     K06R00Z  C2006 09 18.04490 22 16 39.91 +20 27 08.3          17.5 Rrr9471932
     K06R00Z 1C2006 09 18.83407 22 15 42.96 +20 39 56.1          17.3  rt5545084
     K06R00Z 1C2006 09 18.83696 22 15 42.71 +20 39 59.5          17.3  rt5545084
     K06R00Z  C2006 09 19.00588 22 15 29.50 +20 43 08.6          16.3 Rrs2820938
     K06R00Z  C2006 09 19.02014 22 15 28.03 +20 43 24.4          16.5 Rrs2820938
     K06R00Z  C2006 09 19.04177 22 15 25.94 +20 43 45.5          16.9 Rrs2820938
     K06R00Z  C2006 09 19.05158 22 15 24.97 +20 43 54.7          17.2 Rrs2820938
     K06R00Z  C2006 09 19.18145 22 15 18.75 +20 46 18.9          17.4 Vrr9471703
     K06R00Z  C2006 09 19.19134 22 15 17.82 +20 46 29.2          17.2 Vrr9471703
     K06R00Z  C2006 09 19.21127 22 15 15.84 +20 46 50.8          17.3 Vrr9471703
     K06R00Z  C2006 09 19.24031 22 15 11.91 +20 47 17.5          17.5 Rcr9471H45
     K06R00Z  C2006 09 19.24107 22 15 11.82 +20 47 18.5          17.2 Rcr9471H45
     K06R00Z  C2006 09 19.24173 22 15 11.77 +20 47 19.1          17.3 Rcr9471H45
     K06R00Z  C2006 09 19.24297 22 15 11.65 +20 47 20.4          17.1 Rcr9471H45
     K06R00Z  C2006 09 19.24425 22 15 11.53 +20 47 21.6          17.2 Rcr9471H45
     K06R00Z  C2006 09 19.25038 22 15 10.94 +20 47 27.7          17.4 Rcr9471H45
     K06R00Z  C2006 09 19.25381 22 15 10.61 +20 47 31.2          17.3 Rcr9471H45
     K06R00Z  C2006 09 19.25438 22 15 10.55 +20 47 31.8          17.2 Rcr9471H45
     K06R00Z  C2006 09 19.53745 22 14 51.00 +20 52 32.6          17.3 Vrr9471379
     K06R00Z  C2006 09 19.53926 22 14 50.80 +20 52 34.2                rr9471379
     K06R00Z  C2006 09 19.54466 22 14 50.26 +20 52 40.1                rr9471379
     K06R00Z  C2006 09 19.55237 22 14 49.50 +20 52 48.5                rr9471379
     K06R00Z  C2006 09 19.55417 22 14 49.32 +20 52 50.7                rr9471379
     K06R00Z  C2006 09 19.55956 22 14 48.80 +20 52 56.1                rr9471379
     K06R00Z  C2006 09 19.84182 22 14 28.98 +20 57 41.3          16.4 Vor9471J68
     K06R00Z  C2006 09 19.86022 22 14 27.26 +20 58 02.1          17.3 Vor9471J68
     K06R00Z  C2006 09 19.88552 22 14 24.87 +20 58 30.5          17.2 Vor9471J68
     K06R00Z  C2006 09 20.56251 22 13 29.54 +21 11 31.3          17.6 V s2820300
     K06R00Z  C2006 09 20.56735 22 13 29.00 +21 11 38.2          17.8 V s2820300
     K06R00Z  C2006 09 20.57708 22 13 28.25 +21 11 48.8          17.7 V s2820300
     K06R00Z  C2006 09 20.58103 22 13 27.39 +21 11 51.0          18.2 Vrr9471379
     K06R00Z  C2006 09 20.58284 22 13 27.19 +21 11 52.9          17.6 Vrr9471379
     K06R00Z  C2006 09 20.59181 22 13 26.21 +21 12 03.5          17.3 Vrr9471379
     K06R00Z  C2006 09 20.65719 22 13 19.39 +21 13 15.2          16.8 Vrr9471379
     K06R00Z  C2006 09 20.65898 22 13 19.21 +21 13 17.2          17.0 Vrr9471379
     K06R00Z  C2006 09 20.66079 22 13 19.04 +21 13 19.5          17.6 Vrr9471379
