     K08E69C & 1994 05 04.17639 12 27 28.01 +50 16 06.1                cy9840261
     K08E69C & 1994 05 04.20903 12 27 25.79 +50 15 44.8                cy9840261
     K08E69C KC2004 10 10.44429704 40 39.743+01 08 18.92         21.4 Rt~1UFZ645
     K08E69C KC2004 10 10.44471104 40 39.733+01 08 19.24         20.9 Rt~1UFZ645
     K08E69C KC2004 10 20.48434804 34 17.303+00 37 45.51         21.1 Rt~1UFZ645
     K08E69C  C2008 05 16.35042 20 40 15.40 +21 59 15.8          17.3 Rry9840H51
     K08E69C  C2008 05 16.35110 20 40 15.65 +21 59 13.8          17.3 Rry9840H51
     K08E69C  C2008 05 16.35178 20 40 15.91 +21 59 11.8          17.2 Rry9840H51
     K08E69C  C2008 05 17.38362 20 47 00.34 +21 10 19.5          17.1 Rrz0270H45
     K08E69C  C2008 05 17.38516 20 47 00.95 +21 10 14.7          17.2 Rrz0270H45
     K08E69C  C2008 05 17.38580 20 47 01.19 +21 10 12.7          17.2 Rrz0270H45
     K08E69C  C2008 05 17.39381 20 47 04.28 +21 09 49.7          17.1 Rrz0270H45
     K08E69C  C2008 05 17.39482 20 47 04.68 +21 09 46.9          16.8 Rrz0270H45
     K08E69C  C2008 05 17.39561 20 47 04.97 +21 09 44.4          16.9 Rrz0270H45
     K08E69C  C2008 05 17.39703 20 47 05.52 +21 09 40.2          16.9 Rrz0270H45
     K08E69C  C2008 05 24.35593 21 34 39.69 +14 27 20.1          17.5 Rrz0585H51
     K08E69C  C2008 05 24.35648 21 34 39.92 +14 27 17.2          17.4 Rrz0585H51
     K08E69C  C2008 05 24.35705 21 34 40.15 +14 27 15.2          17.4 Rrz0585H51
     K08E69C  C2008 05 24.35762 21 34 40.41 +14 27 13.1          17.4 Rrz0585H51
     K08E69C  C2008 05 24.35818 21 34 40.64 +14 27 11.0          17.6 Rrz0585H51
     K08E69C  C2008 05 24.35875 21 34 40.89 +14 27 08.5          17.4 Rrz0585H51
     K08E69C  C2008 05 24.35931 21 34 41.13 +14 27 06.4          17.5 Rrz0585H51
     K08E69C  C2008 05 24.35988 21 34 41.34 +14 27 04.0          17.5 Rrz0585H51
     K08E69C  C2008 05 24.36045 21 34 41.58 +14 27 01.4          17.5 Rrz0585H51
     K08E69C  C2008 05 24.36102 21 34 41.82 +14 26 59.3          17.3 Rrz0585H51
     K08E69C  C2008 05 25.28345 21 41 12.64 +13 24 47.0          17.3 Rrz0585932
     K08E69C  C2008 05 25.28591 21 41 13.68 +13 24 36.7          17.2 Rrz0585932
     K08E69C  C2008 05 25.29133 21 41 15.96 +13 24 14.6          17.2 Rrz0585932
     K08E69C  C2008 05 26.37949 21 48 59.09 +12 08 34.5          17.6  cz0585704
     K08E69C  C2008 05 26.38686 21 49 02.19 +12 08 03.3          17.6  cz0585704
     K08E69C  C2008 05 26.39432 21 49 05.32 +12 07 31.6          17.7  cz0585704
     K08E69C  C2008 05 26.40164 21 49 08.39 +12 07 00.7          17.3  cz0585704
     K08E69C  C2008 05 26.40897 21 49 11.44 +12 06 29.9          17.9  cz0585704
     K08E69C  C2008 05 27.04436 21 53 42.50 +11 21 01.7          16.9 Rrz0585118
     K08E69C  C2008 05 27.04557 21 53 43.01 +11 20 56.6          17.0 Rrz0585118
     K08E69C  C2008 05 27.04677 21 53 43.50 +11 20 51.6          16.8 Rrz0585118
     K08E69C  C2008 05 27.04797 21 53 44.00 +11 20 46.1          17.0 Rrz0585118
     K08E69C  C2008 05 27.04917 21 53 44.51 +11 20 41.3          16.7 Rrz0585118
     K08E69C ,C2008 05 31.38684 22 24 39.32 +05 54 44.5          16.4 Roz1006807
     K08E69C ,C2008 05 31.38784 22 24 39.76 +05 54 39.6          16.6 Roz1006807
     K08E69C ,C2008 05 31.38840 22 24 39.99 +05 54 37.0          16.5 Roz1006807
     K08E69C ,C2008 05 31.38894 22 24 40.19 +05 54 34.7          16.4 Roz1006807
     K08E69C ,C2008 05 31.38949 22 24 40.43 +05 54 32.1          16.5 Roz1006807
     K08E69C ,C2008 05 31.38999 22 24 40.62 +05 54 29.8          16.3 Roz1006807
     K08E69C ,C2008 05 31.39050 22 24 40.81 +05 54 27.4          16.3 Roz1006807
     K08E69C ,C2008 05 31.39095 22 24 41.06 +05 54 25.2          16.2 Roz1006807
     K08E69C ,C2008 05 31.39146 22 24 41.25 +05 54 22.9          16.5 Roz1006807
     K08E69C  C2008 06 02.37178 22 38 43.25 +03 18 12.3          17.3  cz1006704
     K08E69C  C2008 06 02.38195 22 38 47.52 +03 17 25.1          17.9  cz1006704
     K08E69C  C2008 06 02.39228 22 38 51.82 +03 16 34.9          17.8  cz1006704
     K08E69C  C2008 06 02.40248 22 38 56.02 +03 15 47.3          17.6  cz1006704
     K08E69C  C2008 06 02.41265 22 39 00.27 +03 14 58.7          18.2  cz1006704
     K08E69C  C2008 06 29.73909 01 16 02.17 -24 59 41.6          17.5 Vrz2076E12
     K08E69C  C2008 06 29.74786 01 16 04.36 -25 00 02.7          17.7 Vrz2076E12
     K08E69C  C2008 06 29.75663 01 16 06.45 -25 00 23.2          17.7 Vrz2076E12
     K08E69C  C2008 06 29.76539 01 16 08.54 -25 00 43.7          17.6 Vrz2076E12
     K08E69C  C2008 07 16.81601 02 10 57.72 -33 26 42.0          18.0 Vrz2796E12
     K08E69C  C2008 07 16.81979 02 10 58.26 -33 26 47.4          18.0 Vrz2796E12
     K08E69C  C2008 07 16.82373 02 10 58.76 -33 26 53.0          17.8 Vrz2796E12
     K08E69C  C2008 07 16.82762 02 10 59.30 -33 26 58.3          17.8 Vrz2796E12
     K08E69C  C2008 08 08.62152 02 42 56.29 -40 52 03.3          19.4 Rrz4100E17
     K08E69C  C2008 08 08.62506 02 42 56.47 -40 52 07.8          18.5 Rrz4100E17
     K08E69C  C2008 08 08.62860 02 42 56.61 -40 52 11.9          18.7 Rrz4100E17
     K08E69C  C2008 09 08.74155 02 21 15.08 -47 14 20.0          18.9 Vrz5927E12
     K08E69C  C2008 09 08.74633 02 21 14.50 -47 14 22.0          18.9 Vrz5927E12
     K08E69C  C2008 09 08.75111 02 21 14.00 -47 14 24.3          18.6 Vrz5927E12
     K08E69C  C2008 09 08.75664 02 21 13.39 -47 14 25.3          18.9 Vrz5927E12
     K08E69C  C2008 09 29.65731 01 39 46.11 -46 50 40.7          19.0 Vrz8032E12
     K08E69C  C2008 09 29.67278 01 39 44.17 -46 50 33.3          19.4 Vrz8032E12
     K08E69C  C2008 09 29.68823 01 39 42.15 -46 50 25.6          19.1 Vrz8032E12
     K08E69C  C2008 09 29.70412 01 39 40.21 -46 50 18.7          19.2 Vrz8032E12
     K08E69C KC2011 12 26.38243009 40 13.22 +32 37 25.9          22.9 Vo~0be4H21
     K08E69C KC2011 12 26.40329109 40 12.75 +32 37 37.8          22.8 Vo~0be4H21
     K08E69C KC2011 12 26.42392309 40 12.25 +32 37 49.9          23.1 Vo~0be4H21
     K08E69C KC2012 02 28.16871808 35 29.44 +41 35 03.6          22.0 Vo~0ecjH21
     K08E69C KC2012 02 28.18358608 35 28.40 +41 35 05.3          22.1 Vo~0ecjH21
     K08E69C KC2012 03 14.04932708 22 07.87 +41 47 50.7          22.2 Vo~0ecjH21
     K08E69C KC2012 03 14.06665008 22 07.19 +41 47 50.5          22.2 Vo~0eckH21
     K08E69C KC2012 03 14.08366708 22 06.44 +41 47 49.1          22.4 Vo~0eckH21
