     K07V12D  C2007 11 23.59872 06 34 41.13 +07 15 58.0          13.9 Vrw9161379
     K07V12D  C2007 11 23.60062 06 34 43.57 +07 17 02.5          13.7 Vrw9161379
     K07V12D  C2007 11 23.60126 06 34 44.38 +07 17 23.9          13.6 Vrw9161379
     K07V12D  C2007 11 23.60422 06 34 48.15 +07 19 04.5          13.4 Vrw9161379
     K07V12D  C2007 11 23.60457 06 34 48.59 +07 19 16.5          13.7 Vrw9161379
     K07V12D  C2007 11 23.60596 06 34 50.38 +07 20 03.5          13.5 Vrw9161379
     K07V12D  C2007 11 23.60631 06 34 50.80 +07 20 15.1          13.7 Vrw9161379
     K07V12D  C2007 11 23.60731 06 34 52.07 +07 20 49.1          14.1 Vrw9161379
     K07V12D  C2007 11 23.60753 06 34 52.37 +07 20 57.1          13.7 Vrw9161379
     K07V12D  C2007 11 23.60797 06 34 52.95 +07 21 11.9          13.7 Vrw9161379
     K07V12D  C2007 11 23.60819 06 34 53.21 +07 21 19.2          13.8 Vrw9161379
     K07V12D  C2007 11 23.60929 06 34 54.60 +07 21 56.6          14.0 Vrw9161379
     K07V12D  C2007 11 23.61815 06 35 05.96 +07 26 59.1          14.2 Vrw9161379
     K07V12D  C2007 11 23.61870 06 35 06.66 +07 27 17.8          13.9 Vrw9161379
     K07V12D  C2007 11 23.61925 06 35 07.37 +07 27 36.9          13.8 Vrw9161379
     K07V12D  C2007 11 23.62395 06 35 13.36 +07 30 17.4          13.9 Vrw9161379
     K07V12D  C2007 11 23.62505 06 35 14.79 +07 30 55.4          14.1 Vrw9161379
     K07V12D  C2007 11 23.62671 06 35 16.92 +07 31 52.2          14.0 Vrw9161379
     K07V12D  C2007 11 23.91485 06 42 32.95 +10 28 25.4          13.4 Rcw9161J69
     K07V12D  C2007 11 23.91562 06 42 34.20 +10 28 57.0          13.6 Rcw9161J69
     K07V12D  C2007 11 23.91640 06 42 35.45 +10 29 28.1          13.6 Rcw9161J69
     K07V12D  C2007 11 23.91865 06 42 39.04 +10 30 58.8          13.7 Rcw9161J69
     K07V12D  C2007 11 23.91942 06 42 40.28 +10 31 29.8          13.4 Rcw9161J69
     K07V12D  C2007 11 23.92021 06 42 41.57 +10 32 01.1          13.6 Rcw9161J69
     K07V12D  C2007 11 23.92098 06 42 42.84 +10 32 32.7          13.8 Rcw9161J69
     K07V12D  C2007 11 23.92176 06 42 44.09 +10 33 04.6          13.8 Rcw9161J69
     K07V12D  C2007 11 23.97747 06 44 13.17 +11 11 19.2          13.6 Vow9161510
     K07V12D  C2007 11 23.97918 06 44 15.94 +11 12 30.1          13.4 Vow9161510
     K07V12D  C2007 11 23.98002 06 44 17.34 +11 13 05.7          13.6 Vow9161510
     K07V12D  C2007 11 24.61865 07 07 18.54 +20 07 27.8          12.5 Vrw9161379
     K07V12D  C2007 11 24.62062 07 07 23.67 +20 09 26.0          13.0 Vrw9161379
     K07V12D  C2007 11 24.62307 07 07 30.02 +20 11 52.8          12.8 Vrw9161379
     K07V12D  C2007 11 24.62428 07 07 33.15 +20 13 05.9          12.7 Vrw9161379
     K07V12D  C2007 11 24.62653 07 07 39.04 +20 15 20.7          12.7 Vrw9161379
     K07V12D  C2007 11 24.62734 07 07 41.14 +20 16 09.5          12.8 Vrw9161379
     K07V12D  C2007 11 24.62815 07 07 43.24 +20 16 58.9          12.8 Vrw9161379
     K07V12D  C2007 11 24.63094 07 07 50.55 +20 19 46.3          12.9 Vrw9161379
     K07V12D  C2007 11 24.64083 07 08 16.47 +20 29 44.9          12.5 Vrw9161379
     K07V12D  C2007 11 24.64230 07 08 20.38 +20 31 13.9          12.8 Vrw9161379
     K07V12D  C2007 11 24.64280 07 08 21.64 +20 31 43.6          12.7 Vrw9161379
     K07V12D  C2007 11 24.64481 07 08 26.99 +20 33 46.3          12.8 Vrw9161379
     K07V12D  C2007 11 24.64579 07 08 29.55 +20 34 45.8          12.6 Vrw9161379
     K07V12D  C2007 11 24.64678 07 08 32.15 +20 35 45.6          12.5 Vrw9161379
     K07V12D  C2007 11 24.64726 07 08 33.42 +20 36 15.3          13.0 Vrw9161379
     K07V12D  C2007 11 24.64776 07 08 34.73 +20 36 45.0          12.9 Vrw9161379
     K07V12D  C2007 11 24.65173 07 08 45.26 +20 40 46.6          13.0 Vrw9161379
     K07V12D  C2007 11 24.65223 07 08 46.55 +20 41 17.2          12.9 Vrw9161379
     K07V12D  C2007 11 24.65454 07 08 52.69 +20 43 37.8          12.9 Vrw9161379
