     K08S82H* C2008 09 26.21299 21 58 45.98 +05 04 54.4          20.6 Vrz8163G96
     K08S82H  C2008 12 31.58175 04 44 12.54 +13 33 05.2          17.8 Vr~02fj379
     K08S82H  C2009 01 01.26198 04 53 14.28 +13 18 11.1          16.9 Vr~02fjG96
     K08S82H  C2009 01 01.26992 04 53 20.14 +13 18 00.3          16.9 Vr~02fjG96
     K08S82H  C2009 01 01.53373 04 56 44.23 +13 12 06.4          18.0 Vr~02fj379
     K08S82H  C2009 01 01.53558 04 56 45.53 +13 12 04.1                r~02fj379
     K08S82H  C2009 01 01.56653 04 57 07.95 +13 11 23.4                r~02fj379
     K08S82H  C2009 01 01.58321 04 57 20.01 +13 11 00.7                r~02fj379
     K08S82H  C2009 01 01.58506 04 57 21.37 +13 10 57.4                r~02fj379
     K08S82H  C2009 01 02.26462 05 05 41.07 +12 55 52.4          17.3 Rr~02fjH45
     K08S82H  C2009 01 02.26541 05 05 41.61 +12 55 51.4          17.5 Rr~02fjH45
     K08S82H  C2009 01 02.26632 05 05 42.24 +12 55 50.1          17.5 Rr~02fjH45
     K08S82H  C2009 01 02.26723 05 05 42.86 +12 55 48.9          17.7 Rr~02fjH45
     K08S82H  C2009 01 02.26807 05 05 43.44 +12 55 47.6          17.3 Rr~02fjH45
     K08S82H  C2009 01 02.26907 05 05 44.14 +12 55 46.3          17.7 Rr~02fjH45
     K08S82H  C2009 01 02.51576 05 08 43.04 +12 50 22.6          17.1 Vr~034H379
     K08S82H  C2009 01 02.52785 05 08 51.14 +12 50 06.8          17.5 Vr~034H379
     K08S82H  C2009 01 02.53007 05 08 52.63 +12 50 03.9          17.6 Vr~034H379
     K08S82H  C2009 01 02.53229 05 08 54.08 +12 50 01.1          17.9 Vr~034H379
     K08S82H  C2009 01 02.58876 05 09 31.81 +12 48 45.6          18.1 Vr~034H379
     K08S82H  C2009 01 03.09656 05 15 23.55 +12 37 33.2          16.9 Rr~034HH53
     K08S82H  C2009 01 03.09795 05 15 24.41 +12 37 31.0          17.0 Rr~034HH53
     K08S82H  C2009 01 03.09934 05 15 25.35 +12 37 29.4          17.0 Rr~034HH53
     K08S82H  C2009 01 03.10073 05 15 26.26 +12 37 27.7          16.7 Rr~034HH53
     K08S82H  C2009 01 03.10212 05 15 27.20 +12 37 26.0          16.8 Rr~034HH53
     K08S82H  C2009 01 03.10351 05 15 28.03 +12 37 24.0          17.0 Rr~034HH53
     K08S82H  C2009 01 03.57694 05 20 36.54 +12 27 16.7          17.8 Vr~034H379
     K08S82H  C2009 01 03.58345 05 20 40.54 +12 27 08.8          17.7 Vr~034H379
     K08S82H  C2009 01 03.58530 05 20 41.68 +12 27 06.4          17.9 Vr~034H379
     K08S82H  C2009 01 03.59546 05 20 47.96 +12 26 52.5          17.9 Vr~034H379
     K08S82H  C2009 01 03.60012 05 20 50.81 +12 26 46.9          18.2 Vr~034H379
     K08S82H  C2009 01 03.60197 05 20 51.92 +12 26 44.6          17.8 Vr~034H379
     K08S82H  C2009 01 04.08685 05 26 02.98 +12 16 23.1          18.2 Rr~034HH45
     K08S82H  C2009 01 04.08815 05 26 03.71 +12 16 21.4          18.0 Rr~034HH45
     K08S82H  C2009 01 04.08944 05 26 04.49 +12 16 19.9          18.0 Rr~034HH45
     K08S82H  C2009 01 04.09034 05 26 05.03 +12 16 18.7          17.9 Rr~034HH45
     K08S82H  C2009 01 04.09149 05 26 05.72 +12 16 17.4          17.8 Rr~034HH45
     K08S82H  C2009 01 04.09209 05 26 06.11 +12 16 16.6          18.2 Rr~034HH45
     K08S82H  C2009 01 04.09284 05 26 06.52 +12 16 15.8          18.0 Rr~034HH45
     K08S82H  C2009 01 04.87517 05 33 53.51 +11 59 55.8          17.5 Cw~034H160
     K08S82H  C2009 01 04.87904 05 33 55.69 +11 59 51.1          17.6 Cw~034H160
     K08S82H  C2009 01 04.88240 05 33 57.54 +11 59 46.7          17.5 Cw~034H160
     K08S82H  C2009 01 04.94705 05 34 33.42 +11 58 24.3          16.8 Rr~034HB67
     K08S82H  C2009 01 04.95454 05 34 37.51 +11 58 15.9          16.3 Rr~034HB67
     K08S82H  C2009 01 04.96182 05 34 41.58 +11 58 06.0          16.5 Rr~034HB67
     K08S82H  C2009 01 05.60547 05 40 42.81 +11 45 33.6          17.6 Vr~034H379
