     K09L00S* C2009 06 12.39072 17 10 38.28 -04 23 36.6          18.4 Vr~07TD703
     K09L00S  C2009 08 15.10783 15 55 18.55 +17 01 08.6          20.7 Vo~08GvH55
     K09L00S  C2009 08 15.11401 15 55 18.70 +17 01 09.1          21.0 Vo~08GvH55
     K09L00S  C2010 02 13.09133 01 40 19.95 -07 07 46.4          19.5 Rc~0Dvw926
     K09L00S  C2010 02 13.09955 01 40 22.04 -07 08 00.7                c~0Dvw926
     K09L00S  C2010 02 14.11443 01 44 48.62 -07 35 44.2          19.9 Rc~0Dvw926
     K09L00S  C2010 02 14.11854 01 44 49.71 -07 35 51.5          19.8 Rc~0Dvw926
     K09L00S  C2010 02 14.12265 01 44 50.75 -07 35 58.8          19.7 Rc~0Dvw926
     K09L00S mC2012 05 14.43777 20 22 34.41 +06 42 44.0                o~0geg291
     K09L00S mC2012 05 14.43967 20 22 34.48 +06 42 49.9                o~0geg291
     K09L00S mC2012 05 14.44155 20 22 34.52 +06 42 54.9                o~0geg291
     K09L00S KC2012 07 02.27113419 40 10.21 +50 45 43.9          20.5 Vu~0hkcH21
     K09L00S KC2012 07 02.27974519 40 08.69 +50 46 08.0          20.0 Vu~0hkcH21
     K09L00S KC2012 07 02.28836119 40 07.15 +50 46 31.8          19.7 Vu~0hkcH21
     K09L00S KC2012 07 18.00387 18 42 17.37 +60 16 24.0                t~0hnb204
     K09L00S KC2012 07 18.01726 18 42 13.78 +60 16 44.4                t~0hnb204
     K09L00S KC2012 07 18.03066 18 42 10.18 +60 17 04.7          19.0 Rt~0hnb204
     K09L00S KC2012 10 28.76650 14 46 56.68 +55 19 18.6          19.4 Ru~0kiiB15
     K09L00S KC2012 10 28.76810 14 46 56.53 +55 19 16.6          19.4 Ru~0kiiB15
     K09L00S KC2012 10 28.76970 14 46 56.36 +55 19 14.5          19.3 Ru~0kiiB15
     K09L00S KC2012 10 28.77129 14 46 56.19 +55 19 12.3          19.3 Ru~0kiiB15
     K09L00S KC2012 10 28.77289 14 46 56.02 +55 19 10.4          19.4 Ru~0kiiB15
     K09L00S |C2012 12 13.33431 11 48 50.85 -67 08 45.0          18.7 Vu~0mP3807
     K09L00S |C2012 12 13.33773 11 48 49.55 -67 09 06.7          18.3 Vu~0mP3807
     K09L00S |C2012 12 13.34115 11 48 48.15 -67 09 27.9          18.5 Vu~0mP3807
     K09L00S |C2012 12 13.34457 11 48 46.78 -67 09 49.3          18.6 Vu~0mP3807
     K09L00S |C2012 12 14.35708 11 42 25.32 -68 48 11.8          18.8 Vu~0mP3807
     K09L00S |C2012 12 14.35831 11 42 24.83 -68 48 18.8          18.9 Vu~0mP3807
     K09L00S |C2012 12 14.36003 11 42 24.11 -68 48 28.6          18.9 Vu~0mP3807
     K09L00S |C2013 01 24.12377 04 55 44.46 -83 48 14.1          19.7 Vu~0o2M807
     K09L00S |C2013 01 24.12838 04 55 42.49 -83 48 12.2          19.6 Vu~0o2M807
     K09L00S |C2013 01 24.13320 04 55 40.28 -83 48 10.2          19.5 Vu~0o2M807
     K09L00S |C2013 01 24.13781 04 55 38.24 -83 48 08.3          19.6 Vu~0o2M807
     K09L00S |C2013 02 24.01342 04 02 57.03 -79 45 11.0          19.4 Vu~0pMg807
     K09L00S |C2013 02 24.01703 04 02 57.32 -79 45 09.5          19.5 Vu~0pMg807
     K09L00S |C2013 02 24.02064 04 02 57.55 -79 45 07.7          19.6 Vu~0pMg807
     K09L00S |C2013 02 24.02426 04 02 57.86 -79 45 05.8          19.6 Vu~0pMg807
     K09L00S |C2013 03 27.98760 05 55 29.09 -75 30 01.1          20.0 Vu~0qT4807
     K09L00S |C2013 03 27.99066 05 55 29.99 -75 29 58.9          19.7 Vu~0qT4807
     K09L00S |C2013 03 27.99373 05 55 30.85 -75 29 56.6          19.4 Vu~0qT4807
     K09L00S |C2013 03 27.99679 05 55 31.74 -75 29 54.8          19.6 Vu~0qT4807
     K09L00S |C2013 06 11.94809 11 40 39.22 -35 55 08.2          20.4 Vu~0sbl807
     K09L00S |C2013 06 11.95053 11 40 39.62 -35 55 02.7          20.1 Vu~0sbl807
     K09L00S |C2013 06 11.95298 11 40 40.03 -35 54 57.5          20.2 Vu~0sbl807
     K09L00S |C2013 06 11.95542 11 40 40.44 -35 54 52.2          20.3 Vu~0sbl807
