h5548K08Q03T  C2008 10 05.09103 20 45 59.67 +03 14 16.8          19.8 Vo~004IH55
h5548K08Q03T  C2008 10 05.09285 20 45 59.59 +03 14 16.3          19.7 Vo~004IH55
h5548K08Q03T  C2008 10 05.09465 20 45 59.49 +03 14 15.7          19.7 Vo~004IH55
h5548K08Q03T  C2008 10 06.03333 20 45 16.54 +03 09 38.5          19.8 Voz9331H55
h5548K08Q03T  C2008 10 06.04002 20 45 16.21 +03 09 36.5          19.8 Voz9331H55
h5548K08Q03T  C2008 10 06.04668 20 45 15.88 +03 09 34.6          20.0 Voz9331H55
h5548K08Q03T  C2008 10 14.06448 20 41 25.33 +02 32 34.6          19.1 Vo~004IH55
h5548K08Q03T  C2008 10 19.09444 20 41 06.21 +02 12 57.4          18.9 Ro~00Af304
h5548K08Q03T  C2008 10 19.09766 20 41 06.22 +02 12 56.6          18.9 Ro~00Af304
h5548K08Q03T  C2008 10 19.10087 20 41 06.21 +02 12 55.9          18.9 Ro~00Af304
h5548K08Q03T  C2008 10 19.10407 20 41 06.22 +02 12 55.2          18.8 Ro~00Af304
h5548K08Q03T  C2008 10 19.10728 20 41 06.22 +02 12 54.5          18.9 Ro~00Af304
h5548K08Q03T  C2008 10 19.11050 20 41 06.22 +02 12 53.8          18.9 Ro~00Af304
h5548K08Q03T  C2008 10 19.11369 20 41 06.23 +02 12 53.0          18.9 Ro~00Af304
h5548K08Q03T  C2008 10 19.11691 20 41 06.23 +02 12 52.3          18.9 Ro~00Af304
h5548K08Q03T  C2008 10 19.12013 20 41 06.23 +02 12 51.6          18.9 Ro~00Af304
h5548K08Q03T  C2008 10 19.12333 20 41 06.24 +02 12 50.9          18.9 Ro~00Af304
h5548K08Q03T  C2008 10 22.04823 20 41 40.10 +02 02 18.7          19.5 Vo~00AfH55
h5548K08Q03T  C2008 10 24.13511 20 42 22.86 +01 55 51.9          19.8  c~00Qc704
h5548K08Q03T  C2008 10 24.14666 20 42 23.12 +01 55 47.9          19.7  c~00Qc704
h5548K08Q03T  C2008 10 24.15840 20 42 23.27 +01 55 45.6          19.8  c~00Qc704
h5548K08Q03T  C2008 10 24.17009 20 42 23.50 +01 55 44.1          19.5  c~00Qc704
h5548K08Q03T  C2008 10 24.18215 20 42 23.75 +01 55 41.2          19.4  c~00Qc704
h5548K08Q03T  C2008 10 30.14312 20 45 54.36 +01 40 45.3          19.0 Rr~00QcH45
h5548K08Q03T  C2008 10 30.14546 20 45 54.40 +01 40 44.8          18.9 Rr~00QcH45
h5548K08Q03T  C2008 10 30.14803 20 45 54.48 +01 40 44.5          18.9 Rr~00QcH45
h5548K08Q03T  C2008 10 30.15011 20 45 54.56 +01 40 44.5          18.9 Rr~00QcH45
h5548K08Q03T  C2008 10 30.15167 20 45 54.63 +01 40 44.3          18.8 Rr~00QcH45
h5548K08Q03T  C2008 10 30.15392 20 45 54.73 +01 40 43.6          18.6 Rr~00QcH45
h5548K08Q03T  C2008 11 06.07092 20 52 34.52 +01 30 35.6          19.6 Vo~01NRH55
h5548K08Q03T  C2008 11 06.07463 20 52 34.77 +01 30 35.8          19.5 Vo~01NRH55
h5548K08Q03T  C2008 11 06.07649 20 52 34.91 +01 30 36.0          19.5 Vo~01NRH55
h5548K08Q03T  C2008 11 06.08011 20 52 35.13 +01 30 36.0          19.7 Vo~01NRH55
h5548K08Q03T  C2008 11 17.03574 21 08 25.95 +01 28 58.2          18.9 Rr~01NRH45
h5548K08Q03T  C2008 11 17.03700 21 08 26.04 +01 28 58.3          18.9 Rr~01NRH45
h5548K08Q03T  C2008 11 17.03884 21 08 26.21 +01 28 58.3          19.0 Rr~01NRH45
h5548K08Q03T  C2008 11 17.04101 21 08 26.42 +01 28 58.4          19.0 Rr~01NRH45
h5548K08Q03T  C2008 11 17.04316 21 08 26.67 +01 28 58.6          18.9 Rr~01NRH45
h5548K08Q03T  C2008 11 17.04433 21 08 26.77 +01 28 58.8          19.0 Rr~01NRH45
h5548K08Q03T  C2008 11 20.03762 21 13 52.79 +01 30 52.6          19.1 Rr~01NRH45
h5548K08Q03T  C2008 11 20.03916 21 13 52.89 +01 30 53.3          19.2 Rr~01NRH45
h5548K08Q03T  C2008 11 20.04056 21 13 53.09 +01 30 53.5          19.1 Rr~01NRH45
h5548K08Q03T  C2008 11 20.04194 21 13 53.21 +01 30 53.6          19.3 Rr~01NRH45
h5548K08Q03T  C2008 11 20.04324 21 13 53.35 +01 30 53.6          19.3 Rr~01NRH45
h5548K08Q03T  C2008 11 20.04475 21 13 53.51 +01 30 53.7          19.2 Rr~01NRH45
h5548K08Q03T  C2008 11 20.09119 21 13 58.76 +01 30 56.5          18.9 Vr~01NR703
h5548K08Q03T  C2008 11 20.09832 21 13 59.55 +01 30 57.0          18.7 Vr~01NR703
h5548K08Q03T  C2008 11 20.10558 21 14 00.31 +01 30 56.9          19.0 Vr~01NR703
h5548K08Q03T  C2008 11 20.11282 21 14 01.06 +01 30 57.3          19.1 Vr~01NR703
h5548K08Q03T  C2008 11 22.07312 21 17 51.28 +01 32 35.8          19.3  c~01gT704
h5548K08Q03T  C2008 11 22.08574 21 17 52.71 +01 32 37.1          19.5  c~01gT704
h5548K08Q03T  C2008 11 22.09846 21 17 54.22 +01 32 38.6          19.8  c~01gT704
h5548K08Q03T  C2008 11 22.11109 21 17 55.61 +01 32 38.2          19.8  c~01gT704
h5548K08Q03T  C2008 11 25.04306 21 24 04.83 +01 35 33.3          18.9 Vo~01gTH55
h5548K08Q03T  C2008 11 25.04492 21 24 05.06 +01 35 33.4          19.0 Vo~01gTH55
