     K07D84S* C2007 02 27.34015 11 33 13.39 +52 16 25.0          18.9 Vru1659703
     K07D84S  C2007 03 30.29409 13 36 58.80 +49 21 47.6          16.7 Vdu5581G72
     K07D84S  C2007 03 30.29688 13 37 00.29 +49 21 34.5          16.9 Vdu5581G72
     K07D84S  C2007 03 30.29873 13 37 01.06 +49 21 27.4          16.6 Vdu5581G72
     K07D84S  C2007 03 30.30059 13 37 01.91 +49 21 20.5          16.7 Vdu5581G72
     K07D84S  C2007 03 30.30522 13 37 03.86 +49 21 03.8          16.8 Vdu5581G72
     K07D84S  C2007 03 30.30801 13 37 04.98 +49 20 57.6          16.7 Vdu5581G72
     K07D84S 1C2007 03 31.94137 13 50 40.767+47 23 46.8                rz2459084
     K07D84S 1C2007 03 31.94286 13 50 41.512+47 23 39.5                rz2459084
     K07D84S 1C2007 04 01.08705 13 51 51.514+47 11 47.9                rz2459084
     K07D84S 1C2007 04 01.08854 13 51 52.218+47 11 40.2                rz2459084
     K07D84S  C2007 04 01.11961 13 52 07.83 +47 09 23.2          16.9 Rcu5962B30
     K07D84S  C2007 04 01.12264 13 52 09.09 +47 09 06.9          17.1 Rcu5962B30
     K07D84S  C2007 04 01.12567 13 52 10.51 +47 08 49.8          16.5 Rcu5962B30
     K07D84S  C2007 04 01.12870 13 52 12.07 +47 08 35.2          16.9 Rcu5962B30
     K07D84S  C2007 04 01.34058 13 54 11.70 +46 51 44.2          16.3 Vdu5962G72
     K07D84S  C2007 04 01.34516 13 54 09.40 +46 51 19.2          16.7 Rru5962H45
     K07D84S  C2007 04 01.34584 13 54 09.73 +46 51 15.5          16.6 Rru5962H45
     K07D84S  C2007 04 01.34612 13 54 14.32 +46 51 15.6          16.1 Vdu5962G72
     K07D84S  C2007 04 01.34713 13 54 10.33 +46 51 09.0          17.0 Rru5962H45
     K07D84S  C2007 04 01.34838 13 54 10.93 +46 51 02.4          16.9 Rru5962H45
     K07D84S  C2007 04 01.34965 13 54 11.51 +46 50 56.0          16.8 Rru5962H45
     K07D84S  C2007 04 01.35072 13 54 12.02 +46 50 50.2          16.7 Rru5963H45
     K07D84S  C2007 04 01.35167 13 54 16.92 +46 50 48.4          16.3 Vdu5963G72
     K07D84S  C2007 04 01.35949 13 54 20.61 +46 50 08.8          16.4 Vdu5963G72
     K07D84S  C2007 04 01.36319 13 54 22.25 +46 49 51.4          16.3 Vdu5963G72
     K07D84S  C2007 04 01.36874 13 54 24.86 +46 49 22.6          16.2 Vdu5963G72
     K07D84S 1C2007 04 01.77410 13 58 06.389+46 12 18.0                rz2459084
     K07D84S 1C2007 04 01.77514 13 58 06.919+46 12 13.1                rz2459084
     K07D84S 1C2007 04 01.77617 13 58 07.427+46 12 07.6                rz2459084
     K07D84S 1C2007 04 01.80165 13 58 20.697+46 09 55.9                rz2459084
     K07D84S 1C2007 04 01.80271 13 58 21.319+46 09 50.2                rz2459084
     K07D84S 1C2007 04 01.80377 13 58 21.848+46 09 44.9                rz2459084
     K07D84S 1C2007 04 01.80483 13 58 22.438+46 09 39.1                rz2459084
     K07D84S 1C2007 04 01.87428 13 58 58.084+46 03 33.6                rz2459084
     K07D84S 1C2007 04 01.87534 13 58 58.615+46 03 28.0                rz2459084
     K07D84S 1C2007 04 01.87640 13 58 59.227+46 03 21.8                rz2459084
     K07D84S 1C2007 04 01.87747 13 58 59.724+46 03 16.4                rz2459084
