g3709K06B06Q* C2006 01 22.43948 09 13 10.34 +16 16 28.9          20.1 Vrq0604G96
g3709K06B06Q  C2006 08 03.33783 00 44 44.61 +34 06 17.8          14.9 Rrr5449850
g3709K06B06Q  C2006 08 03.34139 00 44 38.28 +34 06 25.2          15.1 Rrr5449850
g3709K06B06Q  C2006 08 03.34503 00 44 32.01 +34 06 34.7          15.1 Rrr5449850
g3709K06B06Q  C2006 08 03.38721 00 43 18.51 +34 08 09.4          16.6 Rrr5449850
g3709K06B06Q  C2006 08 03.39190 00 43 10.35 +34 08 19.4          16.2 Rrr5449850
g3709K06B06Q  C2006 08 03.39425 00 43 06.25 +34 08 24.6          16.3 Rrr5449850
g3709K06B06Q  C2006 08 03.39453 00 43 07.21 +34 08 23.9          16.4 Rrr5449H45
g3709K06B06Q  C2006 08 03.39530 00 43 05.84 +34 08 25.5          16.2 Rrr5449H45
g3709K06B06Q  C2006 08 03.39580 00 43 04.98 +34 08 26.7          16.3 Rrr5449H45
g3709K06B06Q  C2006 08 03.39637 00 43 04.00 +34 08 27.9          16.4 Rrr5449H45
g3709K06B06Q  C2006 08 03.39660 00 43 02.22 +34 08 29.2          16.3 Rrr5449850
g3709K06B06Q  C2006 08 03.39668 00 43 03.46 +34 08 28.6          16.3 Rrr5449H45
g3709K06B06Q  C2006 08 03.39734 00 43 02.31 +34 08 29.8          16.3 Rrr5449H45
g3709K06B06Q  C2006 08 03.39769 00 43 01.71 +34 08 30.8          16.3 Rrr5449H45
g3709K06B06Q  C2006 08 03.39894 00 42 58.16 +34 08 33.8          15.9 Rrr5449850
g3709K06B06Q  C2006 08 03.40129 00 42 54.12 +34 08 38.8          16.0 Rrr5449850
g3709K06B06Q  C2006 08 03.64697 00 36 22.40 +34 15 48.9          15.2 Rmr7077355
g3709K06B06Q  C2006 08 03.64895 00 36 19.13 +34 15 52.2                mr7077355
g3709K06B06Q  C2006 08 03.65087 00 36 16.01 +34 15 56.9                mr7077355
g3709K06B06Q  C2006 08 03.65183 00 36 14.38 +34 15 59.1                mr7077355
g3709K06B06Q  C2006 08 03.65294 00 36 12.52 +34 16 01.0                mr7077355
g3709K06B06Q  C2006 08 04.30385 00 19 46.87 +34 28 45.2          16.8 Rrr5553850
g3709K06B06Q  C2006 08 04.31800 00 19 25.75 +34 28 58.3          16.1 Rrr5553850
g3709K06B06Q  C2006 08 04.33595 00 18 59.01 +34 29 13.9          15.4 Rrr5553850
g3709K06B06Q  C2006 08 04.35007 00 18 38.00 +34 29 25.0          15.3 Rrr5553850
g3709K06B06Q  C2006 08 04.36733 00 18 12.37 +34 29 37.3          15.6 Rrr5553850
g3709K06B06Q  C2006 08 04.36995 00 18 09.73 +34 29 38.8          15.3 Rrr5449H45
g3709K06B06Q  C2006 08 04.37081 00 18 08.52 +34 29 39.4          15.9 Rrr5449H45
g3709K06B06Q  C2006 08 04.37215 00 18 06.50 +34 29 40.2          15.4 Rrr5449H45
g3709K06B06Q  C2006 08 04.37247 00 18 06.04 +34 29 40.9          15.6 Rrr5449H45
g3709K06B06Q  C2006 08 04.37273 00 18 05.63 +34 29 40.7          15.7 Rrr5449H45
g3709K06B06Q  C2006 08 04.37304 00 18 05.15 +34 29 40.9          15.6 Rrr5449H45
g3709K06B06Q  C2006 08 04.37334 00 18 04.72 +34 29 41.4          15.9 Rrr5449H45
g3709K06B06Q  C2006 08 04.37366 00 18 04.25 +34 29 41.4          15.9 Rrr5449H45
g3709K06B06Q  C2006 08 04.37394 00 18 03.83 +34 29 41.5          15.7 Rrr5449H45
g3709K06B06Q  C2006 08 04.38160 00 17 51.23 +34 29 47.3          16.0 Rrr5553850
g3709K06B06Q  C2006 08 04.67179 00 11 16.72 +34 31 54.2          15.9 Rmr7077355
g3709K06B06Q  C2006 08 04.67391 00 11 13.78 +34 31 55.5                mr7077355
g3709K06B06Q  C2006 08 04.67598 00 11 10.89 +34 31 57.2                mr7077355
g3709K06B06Q  C2006 08 04.67694 00 11 09.58 +34 31 57.2                mr7077355
g3709K06B06Q  C2006 08 04.99286 00 04 17.96 +34 32 17.8          15.0 Ror5553108
g3709K06B06Q  C2006 08 04.99468 00 04 15.59 +34 32 18.9          14.8 Ror5553108
g3709K06B06Q  C2006 08 04.99699 00 04 12.55 +34 32 19.8          14.7 Ror5553108
g3709K06B06Q  C2006 08 04.99884 00 04 10.05 +34 32 20.3          15.0 Ror5553108
g3709K06B06Q  C2006 08 06.04676 23 43 49.37 +34 25 56.5                or5553204
g3709K06B06Q  C2006 08 06.04779 23 43 48.21 +34 25 55.9                or5553204
g3709K06B06Q  C2006 08 06.04883 23 43 47.04 +34 25 55.3                or5553204
g3709K06B06Q  C2006 08 06.04987 23 43 45.88 +34 25 54.7                or5553204
g3709K06B06Q  C2006 08 06.05091 23 43 44.74 +34 25 54.1          15.7 Ror5553204
g3709K06B06Q  C2006 08 06.62578 23 34 07.45 +34 18 16.7          15.9 Vrr5553379
g3709K06B06Q  C2006 08 06.63075 23 34 02.37 +34 18 13.3          15.5 Vrr5553379
g3709K06B06Q  C2006 08 06.63199 23 34 01.17 +34 18 12.1          15.4 Vrr5553379
g3709K06B06Q  C2006 08 06.63550 23 33 57.59 +34 18 09.7          15.5 Vrr5553379
g3709K06B06Q  C2006 08 06.63675 23 33 56.35 +34 18 09.0          15.3 Vrr5553379
g3709K06B06Q  C2006 08 06.63799 23 33 55.11 +34 18 08.1          15.2 Vrr5553379
g3709K06B06Q  C2006 08 06.64105 23 33 51.78 +34 18 05.1          14.8 Rmr7077355
g3709K06B06Q  C2006 08 06.64203 23 33 50.76 +34 18 04.6                mr7077355
g3709K06B06Q  C2006 08 06.64297 23 33 50.06 +34 18 04.2          14.9 Vrr5553379
g3709K06B06Q  C2006 08 06.64316 23 33 49.58 +34 18 03.2                mr7077355
g3709K06B06Q  C2006 08 06.64421 23 33 48.58 +34 18 02.9                mr7077355
g3709K06B06Q  C2006 08 06.64517 23 33 47.57 +34 18 01.6                mr7077355
g3709K06B06Q  C2006 08 06.64609 23 33 46.92 +34 18 01.9          15.1 Vrr5553379
g3709K06B06Q  C2006 08 06.64635 23 33 46.37 +34 18 00.9                mr7077355
g3709K06B06Q  C2006 08 06.64734 23 33 45.67 +34 18 00.9          15.1 Vrr5553379
g3709K06B06Q  C2006 08 06.64735 23 33 45.37 +34 18 00.3                mr7077355
g3709K06B06Q  C2006 08 06.64858 23 33 44.39 +34 18 00.0          15.2 Vrr5553379
g3709K06B06Q  C2006 08 06.65231 23 33 40.67 +34 17 57.2          15.4 Vrr5553379
g3709K06B06Q  C2006 08 08.01541 23 14 10.78 +33 51 23.5          16.2 Vor5553J68
g3709K06B06Q  C2006 08 08.01716 23 14 09.44 +33 51 21.6          15.5 Vor5553J68
g3709K06B06Q  C2006 08 08.03888 23 13 52.19 +33 50 56.1          15.9 Vor5553J68
g3709K06B06Q  C2006 08 08.38280 23 09 32.56 +33 43 58.7          16.0 Rrr5553H45
g3709K06B06Q  C2006 08 08.38387 23 09 31.74 +33 43 57.2          15.9 Rrr5553H45
g3709K06B06Q  C2006 08 08.38690 23 09 29.41 +33 43 52.8          16.0 Rrr5553H45
g3709K06B06Q  C2006 08 08.38736 23 09 29.06 +33 43 52.2          15.8 Rrr5553H45
g3709K06B06Q  C2006 08 08.38828 23 09 28.34 +33 43 50.8          15.9 Rrr5553H45
g3709K06B06Q  C2006 08 08.38888 23 09 27.88 +33 43 50.0          15.6 Rrr5553H45
g3709K06B06Q  C2006 08 08.39111 23 09 26.17 +33 43 46.8          15.7 Rrr5553H45
g3709K06B06Q  C2006 08 08.39198 23 09 25.49 +33 43 45.6          15.9 Rrr5553H45
g3709K06B06Q  C2006 08 09.36802 22 58 31.67 +33 21 13.4          16.4 Rrr5553H45
g3709K06B06Q  C2006 08 09.36867 22 58 31.24 +33 21 12.3          16.3 Rrr5553H45
g3709K06B06Q  C2006 08 09.37027 22 58 30.17 +33 21 09.9          16.6 Rrr5553H45
g3709K06B06Q  C2006 08 09.37083 22 58 29.79 +33 21 09.1          16.2 Rrr5553H45
g3709K06B06Q  C2006 08 09.37139 22 58 29.41 +33 21 08.3          16.3 Rrr5553H45
g3709K06B06Q  C2006 08 09.37199 22 58 29.02 +33 21 07.4          16.3 Rrr5553H45
g3709K06B06Q  C2006 08 09.37256 22 58 28.64 +33 21 06.5          16.5 Rrr5553H45
g3709K06B06Q  C2006 08 10.00174 22 52 17.31 +33 05 40.3          16.8 Rrr5553118
g3709K06B06Q  C2006 08 10.00372 22 52 16.13 +33 05 37.6          16.9 Rrr5553118
g3709K06B06Q  C2006 08 10.00438 22 52 15.75 +33 05 36.6          16.7 Rrr5553118
g3709K06B06Q  C2006 08 10.00504 22 52 15.33 +33 05 35.7          16.7 Rrr5553118
g3709K06B06Q  C2006 08 10.00702 22 52 14.14 +33 05 33.1          16.6 Rrr5553118
g3709K06B06Q  C2006 08 10.94352 22 43 59.82 +32 42 38.9          15.9 Vor5553J68
g3709K06B06Q  C2006 08 10.96550 22 43 48.40 +32 42 10.1          15.7 Vor5553J68
g3709K06B06Q  C2006 08 10.97343 22 43 44.46 +32 41 59.1          16.1 Vor5553J68
g3709K06B06Q  C2006 08 12.32922 22 33 26.55 +32 09 35.6          16.4 Rrr5748H51
g3709K06B06Q  C2006 08 12.33008 22 33 26.19 +32 09 34.3          16.2 Rrr5748H51
g3709K06B06Q  C2006 08 12.33094 22 33 25.80 +32 09 33.0          16.4 Rrr5748H51
g3709K06B06Q  C2006 08 12.33181 22 33 25.41 +32 09 31.7          16.5 Rrr5748H51
g3709K06B06Q  C2006 08 12.33266 22 33 25.02 +32 09 30.4          16.4 Rrr5748H51
g3709K06B06Q  C2006 08 12.33352 22 33 24.64 +32 09 29.1          16.4 Rrr5748H51
g3709K06B06Q  C2006 08 12.33437 22 33 24.26 +32 09 27.8          16.3 Rrr5748H51
g3709K06B06Q  C2006 08 12.33523 22 33 23.88 +32 09 26.6          16.5 Rrr5748H51
