     K08E07Z* C2008 03 07.48916 06 27 32.79 -22 36 44.9          18.4 Vry2318E12
     K08E07Z 2C2008 03 08.94858310 26 17.55 -14 49 37.3          14.3  cy2318095
     K08E07Z 2C2008 03 08.94946010 26 59.71 -14 46 07.4          14.0  cy2318095
     K08E07Z 2C2008 03 08.94972110 27 12.23 -14 45 04.8          14.4  cy2318095
     K08E07Z 2C2008 03 08.95040610 27 45.30 -14 42 20.1          14.4  cy2318095
     K08E07Z 2C2008 03 08.95069310 27 59.15 -14 41 11.0          14.4  cy2318095
     K08E07Z  C2008 03 08.95082 10 30 53.78 -14 45 03.6          13.2 Vry2318A13
     K08E07Z 2C2008 03 08.95090910 28 09.60 -14 40 18.4          14.2  cy2318095
     K08E07Z  C2008 03 08.95100 10 31 02.17 -14 44 22.1          13.6 Vry2318A13
     K08E07Z 2C2008 03 08.95112610 28 20.07 -14 39 25.8          14.3  cy2318095
     K08E07Z  C2008 03 08.95118 10 31 10.72 -14 43 40.0          13.6 Vry2318A13
     K08E07Z  C2008 03 08.95135 10 31 19.31 -14 42 57.2          13.7 Vry2318A13
     K08E07Z 2C2008 03 08.95155710 28 40.95 -14 37 41.8          13.8  cy2318095
     K08E07Z  C2008 03 08.95160 10 31 31.09 -14 41 59.1          13.4 Vry2318A13
     K08E07Z  C2008 03 08.95178 10 31 40.15 -14 41 13.7          13.6 Vry2318A13
     K08E07Z  C2008 03 08.95203 10 31 51.65 -14 40 17.3          13.4 Vry2318A13
     K08E07Z  C2008 03 08.95223 10 32 02.21 -14 39 24.1          13.2 Vry2318A13
     K08E07Z  C2008 03 08.95242 10 32 10.80 -14 38 41.6          13.5 Vry2318A13
     K08E07Z  C2008 03 08.95258 10 32 19.05 -14 38 00.8          13.7 Vry2318A13
     K08E07Z 2C2008 03 08.95274710 29 38.71 -14 32 51.4          14.1  cy2318095
     K08E07Z 2C2008 03 08.95314910 29 58.22 -14 31 13.4          14.2  cy2318095
     K08E07Z 2C2008 03 08.95331910 30 06.50 -14 30 31.2          14.3  cy2318095
     K08E07Z 2C2008 03 08.95363510 30 21.91 -14 29 13.6          14.2  cy2318095
     K08E07Z 2C2008 03 08.95379310 30 29.60 -14 28 34.5          14.4  cy2318095
     K08E07Z 2C2008 03 08.95395110 30 37.33 -14 27 55.8          14.6  cy2318095
     K08E07Z 2C2008 03 08.95410910 30 45.03 -14 27 16.9          14.5  cy2318095
     K08E07Z 2C2008 03 08.95426910 30 52.83 -14 26 37.4          14.3  cy2318095
     K08E07Z 2C2008 03 08.95442910 31 00.63 -14 25 58.1          14.6  cy2318095
     K08E07Z 2C2008 03 08.95459110 31 08.52 -14 25 18.1          14.7  cy2318095
     K08E07Z 2C2008 03 08.95475010 31 16.29 -14 24 38.2          14.4  cy2318095
     K08E07Z 2C2008 03 08.95822610 34 07.12 -14 10 08.0          14.3  cy2318095
     K08E07Z 2C2008 03 08.95854210 34 22.69 -14 08 48.0          14.2  cy2318095
     K08E07Z 2C2008 03 08.95870110 34 30.54 -14 08 07.9          14.3  cy2318095
     K08E07Z 2C2008 03 08.95885810 34 38.37 -14 07 27.7          14.2  cy2318095
     K08E07Z 2C2008 03 08.95901710 34 46.20 -14 06 47.3          14.3  cy2318095
     K08E07Z 2C2008 03 08.95917610 34 54.06 -14 06 07.3          14.1  cy2318095
     K08E07Z 2C2008 03 08.95933410 35 01.91 -14 05 27.1          14.2  cy2318095
     K08E07Z 2C2008 03 08.95949210 35 09.74 -14 04 46.6          14.3  cy2318095
     K08E07Z 2C2008 03 08.95965110 35 17.61 -14 04 06.2          14.3  cy2318095
     K08E07Z 2C2008 03 08.95981010 35 25.45 -14 03 26.0          14.0  cy2318095
     K08E07Z 2C2008 03 08.95997210 35 33.53 -14 02 44.3          14.3  cy2318095
     K08E07Z 2C2008 03 08.96013010 35 41.34 -14 02 03.8          14.3  cy2318095
     K08E07Z 2C2008 03 08.96028910 35 49.23 -14 01 23.1          14.2  cy2318095
     K08E07Z 2C2008 03 08.96044710 35 57.07 -14 00 42.7          13.9  cy2318095
     K08E07Z 2C2008 03 08.96060510 36 04.94 -14 00 02.1          14.2  cy2318095
     K08E07Z 2C2008 03 08.96076310 36 12.80 -13 59 21.4          14.2  cy2318095
     K08E07Z 2C2008 03 08.96092210 36 20.68 -13 58 41.0          14.2  cy2318095
     K08E07Z 2C2008 03 08.96107910 36 28.55 -13 58 00.3          14.2  cy2318095
     K08E07Z 2C2008 03 08.96123710 36 36.42 -13 57 20.1          14.1  cy2318095
     K08E07Z 2C2008 03 08.96139610 36 44.30 -13 56 38.9          14.3  cy2318095
     K08E07Z 2C2008 03 08.96155410 36 52.21 -13 55 58.2          14.2  cy2318095
     K08E07Z 2C2008 03 08.96171210 37 00.10 -13 55 17.3          14.2  cy2318095
     K08E07Z 2C2008 03 08.96187110 37 08.02 -13 54 36.3          14.0  cy2318095
     K08E07Z 2C2008 03 08.96202910 37 15.89 -13 53 55.4          14.2  cy2318095
     K08E07Z 2C2008 03 08.96234610 37 31.65 -13 52 33.3          14.2  cy2318095
     K08E07Z 2C2008 03 08.96266210 37 47.41 -13 51 11.7          14.2  cy2318095
     K08E07Z 2C2008 03 08.96995610 43 55.53 -13 18 58.3          14.3  cy2318095
     K08E07Z 2C2008 03 08.97012110 44 03.91 -13 18 13.9          14.0  cy2318095
     K08E07Z 2C2008 03 08.97027810 44 11.97 -13 17 31.4          14.3  cy2318095
     K08E07Z 2C2008 03 08.97043710 44 20.01 -13 16 48.2          14.3  cy2318095
     K08E07Z 2C2008 03 08.97059510 44 28.09 -13 16 05.2          14.3  cy2318095
     K08E07Z 2C2008 03 08.97075310 44 36.13 -13 15 22.5          14.5  cy2318095
     K08E07Z 2C2008 03 08.97138710 45 08.52 -13 12 30.0          14.2  cy2318095
     K08E07Z 2C2008 03 08.97154410 45 16.62 -13 11 47.1          14.0  cy2319095
     K08E07Z 2C2008 03 08.98304610 55 12.93 -12 17 53.1          14.3  cy2319095
     K08E07Z 2C2008 03 08.98320510 55 21.28 -12 17 06.8          14.0  cy2319095
     K08E07Z 2C2008 03 08.98345910 55 34.62 -12 15 53.3          14.2  cy2319095
     K08E07Z 2C2008 03 08.98361810 55 42.92 -12 15 07.4          14.2  cy2319095
     K08E07Z 2C2008 03 08.98377510 55 51.21 -12 14 22.1          14.1  cy2319095
     K08E07Z  C2008 03 09.09329312 41 05.68 -01 59 26.5          13.4 Rry2319J95
     K08E07Z  C2008 03 09.09347812 41 15.82 -01 58 19.2          13.6 Rry2319J95
     K08E07Z  C2008 03 09.10366412 50 29.46 -00 57 15.7          13.9 Rry2319J95
     K08E07Z  C2008 03 09.10646212 52 59.88 -00 40 39.1          13.8 Rry2319J95
     K08E07Z  C2008 03 09.10682612 53 19.41 -00 38 29.5          13.9 Rry2319J95
     K08E07Z  C2008 03 09.15473313 33 51.89 +03 48 38.2          14.6 Rry2319J95
     K08E07Z  C2008 03 09.15582413 34 43.77 +03 54 14.9          14.5 Rry2319J95
     K08E07Z  C2008 03 09.17776313 51 29.76 +05 41 56.8          14.1 Rry2319J95
     K08E07Z  C2008 03 09.17883313 52 17.02 +05 46 56.3          14.3 Rry2319J95
     K08E07Z  C2008 03 09.18700813 58 12.24 +06 24 16.3          14.5 Rry2319J95
     K08E07Z  C2008 03 09.19192114 01 40.94 +06 46 01.1          14.4 Rry2319J95
     K08E07Z  C2008 03 09.20873014 13 07.46 +07 56 29.0          14.9 Rry2319J95
     K08E07Z  C2008 03 09.20963514 13 43.23 +08 00 06.9          14.8 Rry2319J95
